COX,  JOHN R.#AK#0#REP#2010#0.503333091
BRUDERLY,  DAVID EDWARD#FL#4#DEM#2016#0
KAUFMAN,  STEVE#FL#4#REP#2016#0.782770745
PLOECKELMANN,  MICHAEL REUBEN MR#FL#5#IND#2016#0
HOLLOWAY,  LASHONDA J#FL#5#DEM#2016#0.654749762
LAWSON,  ALFRED JR#FL#5#DEM#2016#0.654749762
BROWN,  CORRINE#FL#5#DEM#2016#0.654749762
SCURRY-SMITH,  GLOREATHA (GLO)#FL#5#REP#2016#0.345250238
MCGOVERN,  JAMES JOSEPH#FL#6#DEM#2016#0.374554675
KELLER,  RICHARD ANTHONY#FL#6#REP#2016#0.625445325
ANTHONY,  MALCOLM#FL#6#REP#2016#0.625445325
ADAMS,  SANDY#FL#6#REP#2016#0.625445325
PAPPAS,  GEORGE STEVE#FL#6#DEM#2016#0.374554675
SANTIAGO,  DAVID#FL#6#REP#2016#0.625445325
BARRINGER,  ADAM#FL#6#REP#2016#0.625445325
KENDALL,  JASON H#FL#6#DEM#2016#0.374554675
JUSICK,  JAMES ANTHONY#FL#6#REP#2016#0.625445325
GALLOWAY,  G.G.#FL#6#REP#2016#0.625445325
DESANTIS,  RONALD D.#FL#6#REP#2016#0.625445325
COSTELLO,  FREDRICK WILLIAM#FL#6#REP#2016#0.625445325
TAYLOR,  DWAYNE L#FL#6#DEM#2016#0.374554675
PATTY,  BRANDON JOEL#FL#6#REP#2016#0.625445325
MOONEY,  PATRICK#FL#6#REP#2016#0.625445325
MCCULLOUGH,  WILLIAM#FL#6#DEM#2016#0.374554675
MORNING,  JOHN#FL#7#REP#2016#0.635989858
BUSCH,  MARK#FL#7#REP#2016#0.635989858
MICA,  JOHN L. MR.#FL#7#REP#2016#0.635989858
WEINGART,  PATRICK DONOVAN#FL#7#IND#2016#0
PHILLIPS,  WILLIAM CALVIN JR#FL#7#DEM#2016#0.321402159
PLASKON,  MIKE#FL#7#OTH#2016#0
MURPHY,  STEPHANIE#FL#7#DEM#2016#0.321402159
DUNCAN,  CHRISTOPHER L. JR#FL#8#DEM#2016#0.341419168
WESTBROOK,  CORRY#FL#8#DEM#2016#0.341419168
STINSON,  BILL#FL#8#NPA#2016#0
POSEY,  BILL#FL#8#REP#2016#0.658358621
PRICE,  LEROI#FL#9#OTH#2016#0
CRABTREE,  VALLERI#FL#9#DEM#2016#0.539746259
GARCIA,  CARMELO#FL#9#DEM#2016#0.539746259
RENTAS,  WANDA#FL#9#REP#2016#0.431124122
BORDERS,  JASON D#FL#9#DEM#2016#0.539746259
LIEBNITZKY,  WAYNE#FL#9#REP#2016#0.431124122
RANGEL,  RICARDO#FL#9#DEM#2016#0.539746259
SOTO,  DARREN#FL#9#DEM#2016#0.539746259
GRAYSON,  DENA MD#FL#9#DEM#2016#0.539746259
RANDOLPH,  SUSANNAH#FL#9#DEM#2016#0.539746259
LOWE,  THUY#FL#10#REP#2016#0.615408429
VEGA,  ANGEL L.#FL#10#DEM#2016#0.384505577
DEMINGS,  VALDEZ VAL#FL#10#DEM#2016#0.384505577
FAHMY,  FATIMA RITA#FL#10#DEM#2016#0.384505577
THOMPSON,  GERALDINE F.#FL#10#DEM#2016#0.384505577
POE,  BOB#FL#10#DEM#2016#0.384505577
WEBSTER,  DANIEL#FL#10#REP#2016#0.615408429
GRABELLE,  JUSTIN M#FL#11#REP#2016#0.66658832
MARTIN,  JACK#FL#11#REP#2016#0.66658832
SCHNACKENBERG,  MATTHEW JOHN#FL#11#LIB#2016#0
FISHER,  MARK FLEMING#FL#11#REP#2016#0.66658832
RIGGS,  BRUCE RAY#FL#11#NNE#2016#0
KOLLER,  DAVID C#FL#11#DEM#2016#0.33341168
STONE,  DAMIAN DR#FL#12#DEM#2016#0
TAGER,  ROBERT MATTHEW#FL#12#DEM#2016#0
BILIRAKIS,  GUS M#FL#12#REP#2016#1
BIRCHER,  MARK WILLIAM#FL#13#REP#2016#0.752191648
DECAILLY,  PAUL#FL#13#REP#2016#0.752191648
WALKER,  KIMBERLY H MS#FL#13#DEM#2016#0
LYNN,  ERIC#FL#13#DEM#2016#0
JOLLY,  DAVID W.#FL#13#REP#2016#0.752191648
CRIST,  CHARLIE JOSEPH#FL#13#DEM#2016#0
GONZALEZ,  EVELIO#FL#14#REP#2016#0
QUINN,  CHRISTINE YVONNE#FL#14#REP#2016#0
ADAMS,  EDDIE JR#FL#14#REP#2016#0
CASTOR,  KATHY#FL#14#DEM#2016#1
ROSS,  DENNIS ALAN#FL#15#REP#2016#0.602812971
LANGE,  JAMES KELLY#FL#15#DEM#2016#0.397187029
SATCHER,  JAMES#FL#16#REP#2016#0.615386295
KING,  BRENT#FL#16#DEM#2016#0.383813207
SCHNEIDER,  JAN#FL#16#DEM#2016#0.383813207
BUCHANAN,  VERNON#FL#16#REP#2016#0.615386295
SAWYER,  JOHN W III#FL#17#REP#2016#0.632353993
ROONEY,  TOM MR.#FL#17#REP#2016#0.632353993
ELLISON,  ALLEN L#FL#17#DEM#2016#0.367646007
FREEMAN,  APRIL JUNE#FL#17#DEM#2016#0.367646007
MCKINLAY,  MELISSA#FL#18#DEM#2016#0.597843504
TAYLOR,  PRISCILLA ANN#FL#18#DEM#2016#0.597843504
MARKS,  STEPHEN J#FL#18#REP#2016#0.402156496
MOWERY,  TOD#FL#18#REP#2016#0.402156496
ROTH,  RICK#FL#18#REP#2016#0.402156496
KOZELL,  RICK#FL#18#REP#2016#0.402156496
SPALDING,  CARLA ARLENE#FL#18#IND#2016#0
KEAVY,  MICHAEL#FL#18#REP#2016#0.402156496
XUNA,  JOHN (AKA JUAN)#FL#18#DEM#2016#0.597843504
HOLLOMAN,  MARILYN#FL#18#OTH#2016#0
NEGRON,  REBECCA#FL#18#REP#2016#0.402156496
PERKINS,  RANDY#FL#18#DEM#2016#0.597843504
DOMINO,  CARL J#FL#18#REP#2016#0.402156496
MAST,  BRIAN#FL#18#REP#2016#0.402156496
CHANE,  JONATHAN#FL#18#DEM#2016#0.597843504
NIKPOUR,  NOELLE#FL#18#REP#2016#0.402156496
FREEMAN,  MARC BENJAMIN#FL#18#REP#2016#0.402156496
GOSS,  CHAUNCEY P#FL#19#REP#2016#0.645521164
ST LOUIS LAROSE,  VALENCIA#FL#19#DEM#2016#0.327406921
ST LOUIS LAROSE,  VALENCIA#FL#19#DEM#2016#0.327406921
BONGINO,  DANIEL J#FL#19#REP#2016#0.645521164
BYRON,  DAVID FRANCIS II#FL#19#NPA#2016#0
NEELD J,  ROBERT M#FL#19#DEM#2016#0.327406921
ROSSANO,  TIMOTHY JOHN#FL#19#OTH#2016#0
ROONEY,  FRANCIS#FL#19#REP#2016#0.645521164
BONNERQ,  JAY ALAN#FL#20#REP#2016#0.183963522
STEINBERG,  MICHAEL ALAN#FL#20#DEM#2016#0.816036478
STEINBERG,  MICHAEL A#FL#20#DEM#2016#0.816036478
HASTINGS,  ALCEE L#FL#20#DEM#2016#0.816036478
STEIN,  GARY#FL#20#REP#2016#0.183963522
STANDARD,  SEAN DAVID MR. SR.#FL#21#REP#2016#0
SPAIN,  PAUL DOUGLAS MR.#FL#21#REP#2016#0
TROUT,  W. MICHAEL 'MIKE'#FL#21#FL#2016#0
FRANKEL,  LOIS J.#FL#21#DEM#2016#0.996265506
MCGEE,  ANDREA LEIGH LEIGH#FL#22#REP#2016#0.419651451
BENSMIHEN,  JOSEPH#FL#22#REP#2016#0.419651451
DEUTCH,  THEODORE ELIOT#FL#22#DEM#2016#0.580316156
ANDERSON,  STEPHANIE MS.#FL#23#NPA#2016#0
SCHULTZ,  DEBBIE WASSERMAN#FL#23#DEM#2016#0.626677913
MENDENHALL,  DAVID#FL#23#IND#2016#0
MILSTEIN,  LYLE#FL#23#NPA#2016#0
ENDRISS,  DONALD#FL#23#NPA#2016#0
FEIGENBAUM,  MARTIN#FL#23#REP#2016#0.373322087
KAUFMAN,  JOE#FL#23#REP#2016#0.373322087
CANOVA,  TIMOTHY A.#FL#23#DEM#2016#0.626677913
HILL,  RANDAL#FL#24#DEM#2016#0.861751091
PIERRE-CHARLES,  IDSON#FL#24#DEM#2016#0.861751091
BURKE,  ROBERT INGRAM#FL#24#OTH#2016#0
WILSON,  FREDERICA S.#FL#24#DEM#2016#0.861751091
DIAZ-BALART,  MARIO#FL#25#REP#2016#1
VALDES,  ALINA#FL#25#DEM#2016#0
PEIXOTO,  JOSE F#FL#26#REP#2016#0.514643262
TADDEO,  ANNETTE#FL#26#DEM#2016#0.485356738
GARCIA,  JOE#FL#26#DEM#2016#0.485356738
CURBELO,  CARLOS MR.#FL#26#REP#2016#0.514643262
ADAMS,  DAVID ANDREW#FL#27#REP#2016#1
PEIRO,  MARIA MAGDALENA#FL#27#REP#2016#1
PEREZ,  FRANK#FL#27#DEM#2016#0
SACKRIN,  ADAM#FL#27#DEM#2016#0
ROS-LEHTINEN,  ILEANA THE HON.#FL#27#REP#2016#1
FUHRMAN,  SCOTT#FL#27#DEM#2016#0
RABINOWITZ,  JEFFREY G#FL#NA#IND#2016#0
RUSSO,  NATHAN C#GA#1#OTH#2016#0
CARTER,  EARL LEROY#GA#1#REP#2016#0.609135402
SCOTT,  BOBBY L.#GA#2#REP#2016#0.408453039
VANN,  DIANE SWANSON#GA#2#REP#2016#0.408453039
DUKE,  GREGORY PAUL#GA#2#REP#2016#0.408453039
BISHOP,  SANFORD D JR#GA#2#DEM#2016#0.591546961
FLANEGAN,  CHARLES EDWARD JR#GA#3#REP#2016#1
MARLOWE,  HAYDEN#GA#3#REP#2016#1
PENDLEY,  ANGELA#GA#3#DEM#2016#0
THOMAS,  ARNALL 'ROD'#GA#3#REP#2016#1
ANDERS,  SAMUEL#GA#3#REP#2016#1
FERGUSON,  ANDERSON DREW IV#GA#3#REP#2016#1
MIX,  RICHARD#GA#3#REP#2016#1
CRANE,  MICHAEL ROBERT#GA#3#REP#2016#1
COOK,  TAMARKUS#GA#3#DEM#2016#0
PACE,  JIM#GA#3#REP#2016#1
COYNE III,  JOHN F#GA#4#DEM#2016#0.999324324
NUNNALLY,  LINCOLN #GA#4#IND#2016#0
ARMENDARIZ,  VICTOR#GA#4#REP#2016#0
ARMENDARIZ,  VICTOR#GA#4#REP#2016#0
JOHNSON,  HENRY C 'HANK'#GA#4#DEM#2016#0.999324324
BELL,  DOUGLAS ANTHONY#GA#5#REP#2016#0
LEWIS,  JOHN R.#GA#5#DEM#2016#1
WILSON,  KURT#GA#6#REP#2016#0.660405503
STOOKSBURY,  RODNEY#GA#6#DEM#2016#0.339594497
PRICE,  THOMAS EDMUNDS#GA#6#REP#2016#0.660405503
JONES,  ANDREW JOHN#GA#7#DEM#2016#0.346129707
MALIK,  RASHID#GA#7#DEM#2016#0.346129707
RASHID MALIK, #GA#7#DEM#2016#0.346129707
WOODALL,  ROB REP.#GA#7#REP#2016#0.653870293
HICKS,  ANGELA#GA#8#REP#2016#0.999085017
HARRIS,  JAMES NEAL#GA#8#DEM#2016#0
SCOTT,  JAMES AUSTIN#GA#8#REP#2016#0.999085017
SCUPIN,  MICHAEL LEE#GA#9#REP#2016#0.806746314
FITZPATRICK,  ROGER #GA#9#REP#2016#0.806746314
FONTAINE,  BERNARD ARTHUR#GA#9#REP#2016#0.806746314
BROUN,  PAUL#GA#9#REP#2016#0.806746314
COLLINS,  DOUGLAS ALLEN#GA#9#REP#2016#0.806746314
WARE,  LEONARD#GA#10#IND#2016#0
HICE,  JODY#GA#10#REP#2016#0.665222923
WILSON,  DONALD E JR#GA#11#DEM#2016#0
LLOP,  WILLIAM#GA#11#REP#2016#1
COWAN,  DANIEL#GA#11#REP#2016#1
DAVIS,  BILLY#GA#11#REP#2016#1
COLLINS,  HAYDEN THOMAS JR#GA#11#REP#2016#1
LOUDERMILK,  BARRY#GA#11#REP#2016#1
MCCRACKEN,  TRICIA CARPENTER#GA#12#DEM#2016#0.452468018
YU,  EUGENE MR.#GA#12#REP#2016#0.547531982
NOLIN,  JOYCE#GA#12#DEM#2016#0.452468018
ALLEN,  RICHARD W#GA#12#REP#2016#0.547531982
SCOTT,  DAVID ALBERT#GA#13#DEM#2016#1
TUCK,  MICKEY#GA#14#REP#2016#1
BOGGS,  PATRICK A#GA#14#OTH#2016#0
GRAVES,  JOHN THOMAS MR. JR.#GA#14#REP#2016#1
BABAUTA,  ANTHONY M#GU#0#DEM#2016#0
METCALFE,  MARGARET#GU#0#REP#2016#0
CAMACHO,  FELIX P GOVERNOR#GU#0#REP#2016#0
BORDALLO,  MADELEINE Z. MS.#GU#0#DEM#2016#0
PLOTZENEDER,  PETER H.#HI#1#OTH#2016#0
ADKINS,  ALEXANDER EDWARD MR#HI#1#DEM#2016#0.519283379
OCASIO,  JAVIER#HI#1#DEM#2016#0.519283379
DELACRUZ SANTIAGO OSTROV,  SHIRLENE#HI#1#REP#2016#0.480716621
GRIFFIN,  CALVIN#HI#1#OTH#2016#0
AHU ISA ,  LEI (LEINAALA)#HI#1#DEM#2016#0.519283379
KIM,  HOWARD#HI#1#DEM#2016#0.519283379
PULETASI ,  SAM#HI#1#DEM#2016#0.519283379
SHARSH-DAVIS,  LEI#HI#1#DEM#2016#0.519283379
YIM,  ALAN J.K.#HI#1#LIB#2016#0
OSTROV,  SHIRLENE D. (SHIRL)#HI#1#REP#2016#0.480716621
TATAII,  STEVE#HI#1#DEM#2016#0.519283379
CROSS,  PETER#HI#1#DEM#2016#0.519283379
PERRY,  YVONNE P#HI#1#UNK#2016#0
HANABUSA,  COLLEEN WAKAKO#HI#1#DEM#2016#0.519283379
CHAN HODGES,  SHAY#HI#2#DEM#2016#0.787487592
KAAIHUE,  ANGELA AULANI#HI#2#REP#2016#0.18648833
HAFNER,  ERIC#HI#2#REP#2016#0.18648833
TURNER,  RICHARD L#HI#2#NON#2016#0
GABBARD,  TULSI#HI#2#DEM#2016#0.787487592
KROEGER,  GARY#IA#1#DEM#2016#0.488548218
PATEL,  RAVI B#IA#1#DEM#2016#0.488548218
MURPHY,  PATRICK#IA#1#DEM#2016#0.488548218
VERNON,  MONICA W#IA#1#DEM#2016#0.488548218
BLUM,  RODNEY#IA#1#REP#2016#0.511451782
CHELGREN,  ERIC MARK#IA#2#REP#2016#0.474392237
PETERS,  CHRISTOPHER CARL#IA#2#REP#2016#0.474392237
LOEBSACK,  DAVID WAYNE#IA#2#DEM#2016#0.525607763
SHERZAN,  MIKE#IA#3#DEM#2016#0.423367705
GRANDANETTE,  JOE#IA#3#REP#2016#0.528952822
HOLDER,  BRYAN JACK#IA#3#LIB#2016#0.032182045
ADDY,  CLAUDIA#IA#3#NPA#2016#0
CRAMER,  ROBERT JAMES#IA#3#REP#2016#0.528952822
ADAMS,  DESMUND DOUGLAS#IA#3#DEM#2016#0.423367705
MOWRER,  JIM#IA#3#DEM#2016#0.423367705
YOUNG,  DAVID#IA#3#REP#2016#0.528952822
LUNDE,  PAUL#IA#4#REP#2016#0.616820054
BERTRAND,  RICK#IA#4#REP#2016#0.616820054
KING,  STEVE MR.#IA#4#REP#2016#0.616820054
WEAVER,  KIMBERLY#IA#4#DEM#2016#0.383179946
COUNSIL,  GORDON JOE#ID#1#IND#2016#0
FOX,  SHIZANDRA#ID#1#DEM#2016#0.349884997
NIKOLOVA,  STANIELA RADKOVA#ID#1#DEM#2016#0.349884997
HAUGEN,  ISAAC M.#ID#1#REP#2016#0.650083309
PIOTROWSKI,  JAMES M#ID#1#DEM#2016#0.349884997
LIFE,  PRO#ID#1#UNK#2016#0
LABRADOR,  RAUL R. HON.#ID#1#REP#2016#0.650083309
MARIE,  LISA#ID#2#REP#2016#0.613608471
MARTINEZ,  JENNIFER#ID#2#DEM#2016#0.386391529
GRAYSON,  RICHARD#ID#2#DEM#2016#0.386391529
RODERICK,  STEVE#ID#2#REP#2016#0.613608471
TAMAYO,  AMY AMERICA#ID#2#DEM#2016#0.386391529
TOMKINS,  ANTHONY DAVID#ID#2#CON#2016#0
SIMPSON,  MICHAEL#ID#2#REP#2016#0.613608471
HARDIMAN,  TIO MARIO#IL#1#DEM#2016#0.730880969
BAILEY,  HAROLD L.#IL#1#DEM#2016#0.730880969
TILLMAN II,  JIMMY LEE#IL#1#REP#2016#0.269119031
BROOKINS,  HOWARD B. JR.#IL#1#DEM#2016#0.730880969
DEUSER,  AUGUST (O'NEILL)#IL#1#REP#2016#0.269119031
BRUTUS,  O. PATRICK#IL#1#DEM#2016#0.730880969
RUSH,  BOBBY LEE#IL#1#DEM#2016#0.730880969
LEWIS,  MARCUS#IL#2#DEM#2016#0.784942183
RAYBURN,  CHARLES#IL#2#DEM#2016#0.784942183
MYRICKES,  DORIAN C. L.#IL#2#DEM#2016#0.784942183
MORROW,  JOHN F.#IL#2#REP#2016#0.214421392
KELLY,  ROBIN L.#IL#2#DEM#2016#0.784942183
JACOBSON,  OREN#IL#3#DEM#2016#0.645622184
JONES,  ARTHUR J.#IL#3#REP#2016#0
LIPINSKI,  DANIEL WILLIAM WILLIAM#IL#3#DEM#2016#0.645622184
SALAS,  JAVIER MR#IL#4#DEM#2016#0.781468257
GUTIERREZ,  LUIS V#IL#4#DEM#2016#0.781468257
QUIGLEY,  MIKE#IL#5#DEM#2016#0.632347747
BARZ,  MICHAEL THOMAS#IL#5#W#2016#0
SHERMAN,  ROB#IL#5#GRE#2016#0.061433874
MAYERS,  RICHARD B. 'RIVERVIEW'#IL#5#GRE#2016#0.061433874
GRIMSLEY,  WARREN GRIZZ#IL#5#GRE#2016#0.061433874
KOLBER,  VINCE#IL#5#REP#2016#0.30621838
MARSHALL,  ROBERT#IL#6#DEM#2016#0.328646462
DRABIK,  GERALD 'JERRY'#IL#6#REP#2016#0.671353538
KINZLER,  GORDON (JAY)#IL#6#REP#2016#0.671353538
HOWLAND,  AMANDA#IL#6#DEM#2016#0.328646462
ROSKAM,  PETER#IL#6#REP#2016#0.671353538
LEEF,  JEFFREY A.#IL#7#REP#2016#0.14904706
DAVIS,  DANNY K. MR.#IL#7#DEM#2016#0.85095294
COLLINS,  FREDERICK#IL#7#DEM#2016#0.85095294
ENYIA,  AMARA DR.#IL#7#DEM#2016#0.85095294
DAY,  THOMAS#IL#7#DEM#2016#0.85095294
BULLWINKEL,  DEBORAH M#IL#8#DEM#2016#0.557263531
STRAW,  ANDREW#IL#8#REP#2016#0.442736469
HANTSCH,  JOSEPH J#IL#8#REP#2016#0.442736469
EVENS,  RICHARD#IL#8#REP#2016#0.442736469
NOLAND,  MICHAEL#IL#8#DEM#2016#0.557263531
KRISHNAMOORTHI,  S. RAJA#IL#8#DEM#2016#0.557263531
DICIANNI,  PETER#IL#8#REP#2016#0.442736469
FRASER,  WILLIAM E#IL#8#IND#2016#0
CULLERTON,  TOM#IL#8#DEM#2016#0.557263531
WILLIAMS,  DAVID EARL III#IL#9#IND#2016#0
DETZEL,  DENIS#IL#9#REP#2016#0.339114547
ATANUS,  SUSANNE#IL#9#REP#2016#0.339114547
SCHAKOWSKY,  JANICE D#IL#9#DEM#2016#0.660576247
LASONDE,  JOAN MCCARTHY#IL#9#REP#2016#0.339114547
SCHROEDER,  WILL DR#IL#10#DEM#2016#0.487024924
KOPSICK,  JOSEPH WILLIAM#IL#10#OTH#2016#0
RODKIN ROTERING,  NANCY#IL#10#DEM#2016#0.487024924
SCHNEIDER,  BRADLEY SCOTT#IL#10#DEM#2016#0.487024924
DOLD,  ROBERT JAMES JR#IL#10#REP#2016#0.512975076
TAMS,  MICHAEL A#IL#11#REP#2016#0.465377749
STELLA,  DOMINICK J. M.D.#IL#11#REP#2016#0.465377749
FOSTER,  G. WILLIAM (BILL)#IL#11#DEM#2016#0.534616529
KHOURI,  TONIA#IL#11#REP#2016#0.465377749
WHITE,  HERMAN#IL#11#REP#2016#0.465377749
FOLKNER,  SADONA M.#IL#12#GRE#2016#0.056451382
VOWELL,  EDWARD F.#IL#12#DEM#2016#0.418903584
BOST,  MICHAEL#IL#12#REP#2016#0.524645033
BARICEVIC,  CHARLES JOHN#IL#12#DEM#2016#0.418903584
BRADSHAW,  PAULA#IL#12#GRE#2016#0.056451382
VANDERSAND,  ETHAN#IL#13#REP#2016#0.586559314
GILL,  DAVID DR.#IL#13#IND#2016#0
WICKLUND,  MARK DAVID#IL#13#DEM#2016#0.413440686
DAVIS,  RODNEY L#IL#13#UNK#2016#0
MAGGITT,  JESSE#IL#14#DEM#2016#0.345862395
BISON,  BUDDY DA#IL#14#OTH#2016#0
HOSTA,  JOHN#IL#14#DEM#2016#0.345862395
WALZ,  JIM#IL#14#DEM#2016#0.345862395
HULTGREN,  RANDY#IL#14#REP#2016#0.654137605
MCCARTER,  KYLE#IL#15#REP#2016#0.749231726
SHIMKUS,  JOHN M#IL#15#REP#2016#0.749231726
MCGROARTY,  COLIN M#IL#16#REP#2016#0.706212764
KINZINGER,  ADAM#IL#16#REP#2016#0.706212764
HARLAN,  PATRICK#IL#17#REP#2016#0.445347886
BOCCAROSSA,  JACK#IL#17#REP#2016#0.445347886
BUSTOS,  CHERI#IL#17#DEM#2016#0.554571857
ZALCMAN,  MARK H MR.#IL#18#REP#2016#0.747195428
VLAKANCIC,  CONNOR#IL#18#IND#2016#0
MELLON,  ROB#IL#18#DEM#2016#0.252804572
RIENTS,  DONALD RAY#IL#18#REP#2016#0.747195428
MELLON,  ROBERT#IL#18#DEM#2016#0.252804572
FLYNN,  MICHAEL#IL#18#REP#2016#0.747195428
LOPEZ,  ADAM#IL#18#DEM#2016#0.252804572
LAHOOD,  DARIN MCKAY#IL#18#REP#2016#0.747195428
RODRIGUEZ,  JUNIUS#IL#18#DEM#2016#0.252804572
BROWN,  WILLIE (FAITHFUL AND TRUE)#IN#1#DEM#2016#0.608455792
MEYER,  JOHN#IN#1#REP#2016#0
DUNN,  DONNA T.#IN#1#LIB#2016#0.033128826
VISCLOSKY,  PETER J.#IN#1#DEM#2016#0.608455792
CARPENTER,  DOUGLAS M.#IN#2#DEM#2016#0.38285124
PETERMANN,  JEFF#IN#2#REP#2016#0.589414601
CENKUSH,  RON#IN#2#LIB#2016#0.02773416
WALORSKI SWIHART,  JACKIE#IN#2#REP#2016#0.589414601
COLEMAN,  LYNN CARNELL#IN#2#DEM#2016#0.38285124
TOM,  KIP E#IN#3#REP#2016#0.691490863
BANKS,  JAMES E#IN#3#REP#2016#0.691490863
GALLOWAY,  PAMELA GAIL#IN#3#REP#2016#0.691490863
ROBERSON,  JOHN FORREST#IN#3#DEM#2016#0.2672908
BARINGER,  MARK WILLIAM#IN#3#REP#2016#0.691490863
SCHRADER,  THOMAS ALLEN#IN#3#DEM#2016#0.2672908
LAMP,  TOBY#IN#3#DEM#2016#0.2672908
HOWELL,  KEVIN 'SGT'#IN#3#REP#2016#0.691490863
NIGHTENHELSER,  TODD ALAN#IN#3#DEM#2016#0.2672908
SNYDER,  PEPPER#IN#3#LIB#2016#0.041218337
BROWN,  LIZ#IN#3#REP#2016#0.691490863
GRANT,  KEVIN JAY#IN#4#REP#2016#0.668745688
DALE,  JOHN#IN#4#DEM#2016#0.331254312
FARRAR,  RYAN#IN#4#DEM#2016#0.331254312
MAYORAS,  STEVEN MICHAEL#IN#4#LIB#2016#0
ROKITA,  THEODORE EDWARD#IN#4#REP#2016#0.668745688
DENNEY,  SHAWN ALLEN#IN#5#DEM#2016#0.308201189
PURDY,  POLLY JESUS#IN#5#DEM#2016#0.308201189
MACKENZIE,  STEPHEN M.#IN#5#REP#2016#0.65211224
CAMPBELL,  MIKE#IN#5#REP#2016#0.65211224
DAVIDSON,  ALLEN RAY#IN#5#DEM#2016#0.308201189
WITTLIEF,  MATTHEW#IN#5#LIB#2016#0.039686571
DEMAREE,  ANGELA JO#IN#5#DEM#2016#0.308201189
BROOKS,  SUSAN MRS.#IN#5#REP#2016#0.65211224
TURVEY,  RICHARD THOMAS MR. III#IN#6#LIB#2016#0.04755886
BASHAM,  DANNY#IN#6#DEM#2016#0.293472022
HOLLAND,  GEORGE THOMAS#IN#6#DEM#2016#0.293472022
WELSH,  REVI BARRY ALAN#IN#6#DEM#2016#0.293472022
SPELBRING,  RALPH#IN#6#DEM#2016#0.293472022
PEAVLER,  BRUCE W.#IN#6#DEM#2016#0.293472022
JOHNSON,  CHARLES CHUCK JR.#IN#6#REP#2016#0.658969117
SMITH,  JEFF#IN#6#REP#2016#0.658969117
MESSER,  ALLEN LUCAS#IN#6#REP#2016#0.658969117
WELSH,  BARRY#IN#6#DEM#2016#0.293472022
THOMPSON,  ANDREW#IN#7#LIB#2016#0.035016613
GODFREY,  CURTIS#IN#7#DEM#2016#0.547322757
PULLINS,  PIERRE QUINCY#IN#7#DEM#2016#0.547322757
PING,  CATHERINE LOUISE 'CAT'#IN#7#REP#2016#0.41766063
MINIEAR,  J D#IN#7#REP#2016#0.41766063
CARSON,  ANDRE#IN#7#DEM#2016#0.547322757
HARMON,  WAYNE E#IN#7#REP#2016#0.41766063
HORNING,  ANDREW MICHAEL#IN#8#LIB#2016#0.03844964
COVINGTON,  RACHEL#IN#8#REP#2016#0.603239646
MOSS,  RICHARD MARC#IN#8#REP#2016#0.603239646
ORENTLICHER,  DAVID#IN#8#DEM#2016#0.358310714
BUCSHON,  LARRY D.#IN#8#REP#2016#0.603239646
DRAKE,  RON#IN#8#DEM#2016#0.358310714
ZOELLER,  GREGORY FRANCIS MR.#IN#9#REP#2016#0.625628899
BROOKSBANK,  RUSSELL#IN#9#LIB#2016#0.035575508
HOUCHIN,  ERIN#IN#9#REP#2016#0.625628899
THOMAS,  WILLIAM JOSEPH#IN#9#DEM#2016#0.338795593
KERN,  BOB#IN#9#DEM#2016#0.338795593
HALL,  ROBERT#IN#9#REP#2016#0.625628899
MCCLURE,  JAMES R.#IN#9#DEM#2016#0.338795593
WALTZ,  DARRYL BRENT JR#IN#9#REP#2016#0.625628899
HOLLINGSWORTH,  TREY#IN#9#REP#2016#0.625628899
PFAFF,  JAMES R#IN#9#REP#2016#0.625628899
YODER,  SHELLI#IN#9#DEM#2016#0.338795593
BURT,  KERRY SCOTT MR.#KS#1#LIB#2016#0
HUELSKAMP,  TIMOTHY A REPRESENTA#KS#1#REP#2016#0.679679273
MARSHALL,  ROGER W#KS#1#REP#2016#0.679679273
LAPOLICE,  ALAN#KS#1#DEM#2016#0
PRYOR,  JAMES MICHAEL#KS#2#DEM#2016#0.386169279
BALES,  JAMES HOUSTON#KS#2#LIB#2016#0.043383285
POTTER,  BRITANI#KS#2#DEM#2016#0.386169279
JENKINS,  LYNN#KS#2#REP#2016#0.570447436
YODER,  KEVIN#KS#3#REP#2016#0.600208857
MARSELUS,  REGINALD W#KS#3#DEM#2016#0.399791143
HOHE,  STEVE#KS#3#LIB#2016#0
MCLAUGHLIN,  NATHANIEL WELTON JR#KS#3#DEM#2016#0.399791143
GOODE,  GREGORY MICHAEL LTC(R) SR#KS#3#REP#2016#0.600208857
SIDIE,  JAY#KS#3#DEM#2016#0.399791143
BAKKEN,  GORDEN J#KS#4#LIB#2016#0
TILLMAN,  ROBERT LEON#KS#4#DEM#2016#0.333389382
GIROUX,  DANIEL BERNARD#KS#4#DEM#2016#0.333389382
WALZ-ALLEN,  MIRANDA#KS#4#IND#2016#0
POMPEO,  MICHAEL RICHARD#KS#4#REP#2016#0.666610618
OSBORNE,  TOM#KY#1#DEM#2016#0.268770761
CAUGHEY,  MILES A#KY#1#REP#2016#0.731229239
MCINTOSH,  TERRY#KY#1#OTH#2016#0
GASKINS,  SAMUEL LEWIS#KY#1#DEM#2016#0.268770761
BATTS,  JASON#KY#1#REP#2016#0.731229239
PAPE,  MICHAEL J#KY#1#REP#2016#0.731229239
COMER,  JAMES#KY#1#REP#2016#0.731229239
GUTHRIE,  S. BRETT HON.#KY#2#REP#2016#0.691853955
