Cand_Name,Cand_Office_St,Cand_Office_Dist,Cand_Party_Affiliation,Year
COGLIANO, VINCENT ANTHONY JR,MA,9,REP,2014
CHAPMAN, JOHN C,MA,9,REP,2014
ALLIEGRO, MARK C,MA,9,REP,2014
KEATING, WILLIAM RICHARD,MA,9,DEM,2014
SHORES, DANIEL L,MA,9,REP,2014
IMHOLT, TIMOTHY JAMES,MA,NA,REP,2014
TILGHMAN, WILLIAM F,MD,1,DEM,2014
LA FERLA, JOHN JAMES DR,MD,1,DEM,2014
SHAFFER, JAMES ALEXANDER,MD,1,REP,2014
GOFF, JONATHAN MARVIN JR,MD,1,REP,2014
KELLY, BRIDGET E DED,MD,1,DEM,2014
LETKE, KIM,MD,1,DEM,2014
HARRIS, ANDREW P,MD,1,REP,2014
RUNDQUIST, PAUL ANDREW,MD,2,DEM,2014
BANACH, DAVID MICHAEL,MD,2,REP,2014
TAYLOR, BLAINE,MD,2,DEM,2014
SPERBER, JOSEPH JEAN,MD,2,IND,2014
SHELL, MARK GERALD,MD,2,LIB,2014
RUPPERSBERGER, C.A. DUTCH,MD,2,DEM,2014
SCHLAKMAN, IAN ANDREW,MD,2,GRE,2014
MOLYETT, MATTHEW DAVID,MD,3,DEM,2014
JACKSON, MICHAEL PATRICK,MD,3,REP,2014
HARRIS, THOMAS E.,MD,3,REP,2014
SARBANES, JOHN PETER SPYROS,MD,3,DEM,2014
LONG, CHARLES A,MD,3,REP,2014
HOLMES, GREG,MD,4,REP,2014
GRAZIANI, JOHN R.,MD,4,REP,2014
VOHRA, ARVIN,MD,4,LIB,2014
CHRISTOPHER, WARREN,MD,4,DEM,2014
HOYT, NANCY JONES,MD,4,REP,2014
EDWARDS, DONNA FERN,MD,4,DEM,2014
ARNESS, MARK KENNETH,MD,5,REP,2014
FRITZ, DENNIS L.,MD,5,UNK,2014
POTTER, TOM,MD,5,REP,2014
CHAFFEE, CHRISTOPHER PARRY,MD,5,REP,2014
HOYER, STENY HAMILTON,MD,5,DEM,2014
PAINTER, HAROLD WALTON,MD,6,REP,2014
GLUCK , GEORGE,MD,6,GRE,2014
CHARLTON, WALTER THEODORE,MD,6,NA,2014
VOGT, DAVID EDWARD III,MD,6,REP,2014
BONGINO, DANIEL,MD,6,REP,2014
DELANEY, JOHN K,MD,6,DEM,2014
VAUGHN, CARROGAN R,MD,7,REP,2014
PEARSON, MICHAEL TYRONE,MD,7,OTH,2014
DICKSON, FRED DONALD JR.,,MD,7,DEM,2014
ALEXANDER, BRYANT,MD,7,DEM,2014
BLY, RAY,MD,7,REP,2014
SOFFEN , SCOTT,MD,7,LIB,2014
CUMMINGS, ELIJAH E,MD,7,DEM,2014
WALLACE, DAVID D II,MD,8,REP,2014
WILDMAN, ANDREW JAYE,MD,8,IND,2014
ENGLISH, GEORGE,MD,8,DEM,2014
YOUNG, LIH,MD,8,DEM,2014
HADDOX, STEVEN,MD,8,LIB,2014
VAN HOLLEN, CHRISTOPHER,MD,8,DEM,2014
STEPHENS, BARRY D,ME,1,REP,2014
MISIUK, ISAAC JAMES,ME,1,REP,2014
MURPHY, RICHARED PAUL,ME,1,IND,2014
PINGREE, CHELLIE M,ME,1,DEM,2014
WILLETTE, ALEXANDER REGINALD,ME,2,REP,2014
YOUNG, KATHERINE E,ME,2,GRE,2014
SMITH, ALDEN,ME,2,DEM,2014
HAWES, LEIGH M,ME,2,REP,2014
RAYE, KEVIN L.,ME,2,REP,2014
RICHARDSON, RALPH BLAINE,ME,2,IND,2014
CAIN, EMILY ANN,ME,2,DEM,2014
JACKSON, TROY,ME,2,DEM,2014
POLIQUIN, BRUCE L,ME,2,REP,2014
GLOVER, KEVIN,MI,1,DEM,2014
FERGUSON, DANA ALAN,MI,1,DEM,2014
SALVETTE, EMILY,MI,1,LIB,2014
BOAL, ELLIS,MI,1,GRE,2014
GNADT, LOEL ROBERT,MI,1,LIB,2014
BENISHEK, DANIEL J. M.D.,MI,1,REP,2014
CANNON, JERRY,MI,1,DEM,2014
ARCAND, ALAN DAVID,MI,1,REP,2014
HUIZENGA, WILLIAM P THE HON.,MI,2,REP,2014
GRAESER, RONALD E.,MI,2,OTH,2014
WELCH, RONALD II,MI,2,LIB,2014
VANDERSTELT, DEAN,MI,2,DEM,2014
ABBOTT, RICHARD ALLEN IV,MI,3,DEM,2014
GOODRICH, ROBERT EMMETT,MI,3,DEM,2014
DUNCAN, TONYA,MI,3,GRE,2014
ELLIS, BRIAN ROBERT,MI,3,REP,2014
AMASH, JUSTIN,MI,3,REP,2014
MITCHELL, PAUL III,MI,4,REP,2014
HOLMES, JEFF,MI,4,DEM,2014
KONETCHY, PETER D,MI,4,REP,2014
ZIMMERMAN, GEORGE,MI,4,OTH,2014
WHITE, WILL TYLER,MI,4,LIB,2014
MOOLENAAR, JOHN,MI,4,REP,2014
HARDWICK, ALAN,MI,5,REP,2014
WHITMIRE, TOM,MI,5,REP,2014
JONES, HAROLD H.,MI,5,LIB,2014
KILDEE, DANIEL T.,MI,5,DEM,2014
BUSSLER, JIM,MI,6,REP,2014
HASS, ERWIN J.,MI,6,LIB,2014
LAWRENCE, JOHN M.,MI,6,GRE,2014
UPTON, FREDERICK STEPHEN,MI,6,REP,2014
CLEMENTS, PAUL COLIN,MI,6,DEM,2014
BYRNES, PAM,MI,7,DEM,2014
NORTH, DOUGLAS RADCLIFFE,MI,7,UNK,2014
PROCTOR, KEN,MI,7,LIB,2014
STRAWCUTTER, RICK,MI,7,NNE,2014
WALBERG, TIMOTHY L HON.,MI,7,REP,2014
SWARTOUT, DAVID BERNARD,MI,7,IND,2014
BARNETT, BRYAN K,MI,8,REP,2014
HANK, JEFFREY A,MI,8,DEM,2014
GRETTENBERGER, SUSAN,MI,8,DEM,2014
CASHA, JIM,MI,8,GRE,2014
DARGA, KENNETH JAMES,MI,8,DEM,2014
MCMILLIN, THOMAS E,MI,8,REP,2014
WEEKS II, JAMES,MI,8,LIB,2014
BURGESS, JEREMY,MI,8,IND,2014
BISHOP, MIKE,MI,8,REP,2014
SCHERTZING, ERIC ANTHONY,MI,8,DEM,2014
DILDILIAN, GREGORY CHARLES,MI,9,REP,2014
CRESWELL, GREGORY,MI,9,LIB,2014
MCDERMOTT, JOHN V.,MI,9,GRE,2014
LEVIN, SANDER M MR,MI,9,DEM,2014
BRIKHO, GEORGE,MI,9,REP,2014
PHILLIPS, LARRY JEFFREY,MI,10,REP,2014
MIKKELSON, HARLEY,MI,10,GRE,2014
MILLER, CANDICE S.,MI,10,REP,2014
STADLER, CHUCK,MI,10,DEM,2014
VOLARIC, DONALD CECIL,MI,10,REP,2014
ROBERTS, WILLIAM F,MI,11,DEM,2014
TATAR, JOHN J,MI,11,LIB,2014
SKINNER, NANCY ANN,MI,11,DEM,2014
TROTT, DAVID A,MI,11,REP,2014
MCKENZIE, BOBBY,MI,11,DEM,2014
KUMAR, ANIL,MI,11,DEM,2014
BENTIVOLIO, KERRY,MI,11,REP,2014
MULLINS, RAYMOND GLENN,MI,12,DEM,2014
DASHAIRYA, BHAGWAN,MI,12,LIB,2014
WALKOWICZ, GARY,MI,12,NNE,2014
FARKAS, STEPHEN,MI,12,REP,2014
DINGELL, DEBBIE,MI,12,DEM,2014
BOWMAN, TERRENCE MICHAEL,MI,12,REP,2014
GORMAN, JEFF,MI,13,REP,2014
SHARER, CHRIS,MI,13,LIB,2014
JOHNSON, SAM,MI,13,NNE,2014
SHEFFIELD, HORACE,MI,13,DEM,2014
CONYERS, JOHN JR.,MI,13,DEM,2014
FOSTER, BURGESS,MI,14,DEM,2014
CONYERS, CHRISTINA,MI,14,REP,2014
MCCALL, JESSICA LYNN,MI,14,DEM,2014
BARR, CHRISTINA L.,MI,14,REP,2014
BOYLE, STEPHEN,MI,14,GRE,2014
SCHWARTZ, LEONARD,MI,14,LIB,2014
GARRETT, MYKALE L,MI,14,DEM,2014
DUNWOODY, STEPHEN,MI,14,DEM,2014
MORTON, MAURICE G,MI,14,DEM,2014
HOBBS, RUDY,MI,14,DEM,2014
PRUDEN, CALVIN,MI,14,UNK,2014
GREGORY, VINCENT,MI,14,DEM,2014
LAWRENCE, BRENDA LULENAR,MI,14,DEM,2014
CLARKE, HANSEN,MI,14,DEM,2014
BENSON, MICHAEL (MIKE) WAYNE,MN,1,REP,2014
MILLER, AARON,MN,1,REP,2014
HAGEDORN, JAMES,MN,1,REP,2014
WALZ, TIMOTHY J.,MN,1,DEM,2014
GERSON, DAVID ADAM,MN,2,REP,2014
CRAFT, THOMAS EDWARD,MN,2,DEM,2014
KLINE, JOHN PAUL JR,MN,2,REP,2014
MEHRING, SONA,MN,2,DFL,2014
OBERMUELLER, MICHAEL E.,MN,2,DFL,2014
OVERBY, PAULA MIRARE MS,MN,2,IP,2014
ROBERTS, MICHAEL JERARD,MN,2,DEM,2014
SUND, SHARON ,MN,3,DEM,2014
PAULSEN, ERIK,MN,3,REP,2014
THOMAS, DAVE,MN,4,OTH,2014
WALHGREN, SHARNA,MN,4,REP,2014
MCCOLLUM, BETTY,MN,4,DEM,2014
BAUER, LEE,MN,5,OTH,2014
DAGGETT, DOUGLAS JAMES,MN,5,REP,2014
ELLISON, KEITH MAURICE,MN,5,DEM,2014
PEDERSON, JOHN CARROLL,MN,6,REP,2014
EMMER, THOMAS EARL JR,MN,6,REP,2014
READ, JAMES HOWARD,MN,6,DEM,2014
GRAVES, JAMES JOSEPH,MN,6,DFL,2014
SIVARAJAH, RHONDA,MN,6,REP,2014
KRINKIE, PHILIP B,MN,6,REP,2014
PERSKE, JOSEPH EMIL,MN,6,DFL,2014
DENNEY, JOHN,MN,6,OTH,2014
PETERSON, COLLIN CLARK,MN,7,DFL,2014
BYBERG, VIDAR,MN,7,REP,2014
WESTROM, TORREY NORMAN,MN,7,REP,2014
MILLS, STEWART,MN,8,REP,2014
SANDMAN, RAY SKIP,MN,8,GRE,2014
NOLAN, RICHARD MICHAEL,MN,8,DFL,2014
CLAY, WILLIAM LACY JR,MO,1,DEM,2014
ELDER, DANIEL ,MO,1,REP,2014
BAKER, MARTIN D,MO,1,REP,2014
CUNNINGHAM, ROBB E.,MO,1,LIB,2014
KOEHR, DAVID,MO,1,REP,2014
SLANTZ, BILL,MO,2,LIB,2014
WAGNER, ANN L.,MO,2,REP,2014
LIEBER, ARTHUR H,MO,2,DEM,2014
HEDRICK, STEVEN R,MO,3,LIB,2014
STEINMAN, LEONARD,MO,3,REP,2014
FROST, JOE,MO,3,REP,2014
MORRIS, JOHN,MO,3,REP,2014
DENTON, COURTNEY,MO,3,DEM,2014
STEINMAN, VELMA,MO,3,DEM,2014
LUETKEMEYER, W BLAINE,MO,3,REP,2014
LANGKRAEHR, RANDALL DAVID (RANDY),MO,4,LIB,2014
IRVIN, NATHANIEL AUGUSTUS,MO,4,DEM,2014
HARTZLER, VICKY,MO,4,REP,2014
YOUNG, HERSCHEL L,MO,4,LIB,2014
LANGKREAR, RANDALL (RANDY),MO,4,LIB,2014
WEBB, JOHN,MO,4,REP,2014
ALAO, SAMUEL AKINNIYI,MO,5,REP,2014
LINDSAY, BILL,MO,5,REP,2014
CLEAVER II, EMANUEL,MO,5,DEM,2014
LINDSEY, CHARLES,MO,5,DEM,2014
GOUGH, BOB,MO,5,DEM,2014
MEMOLY, MARK S.,MO,5,DEM,2014
KNOX, BERTON A.,MO,5,REP,2014
WELBORN, ROY,MO,5,LIB,2014
HOLMES, ERIC,MO,5,DEM,2014
BURRIS, MICHAEL CRAIG,MO,5,REP,2014
TURK, JACOB,MO,5,REP,2014
THARP, BRIAN L,MO,6,REP,2014
GRAVES, SAMUEL B 'SAM',MO,6,REP,2014
RYAN, CHRISTOPHER,MO,6,REP,2014
MONCHIL, RUSS LEE,MO,6,LIB,2014
HEDGE, W A (BILL) DR,MO,6,DEM,2014
CROSE, GARY LYNN,MO,6,DEM,2014
FIELDS, EDWARDS DWAYNE,MO,6,DEM,2014
REID, KYLE,MO,6,REP,2014
MOON, C MICHAEL,MO,7,REP,2014
WORKS, GEORGE MARSHALL,MO,7,REP,2014
EVANS, JIM,MO,7,DEM,2014
JENNINGS, VINCENT DWAIN,MO,7,IND,2014
WILLIAMS, GENEVIEVE,MO,7,DEM,2014
CRAIG, KEVIN,MO,7,LIB,2014
LONG, BILLY,MO,7,REP,2014
RICHARDSON, TODD,MO,8,REP,2014
ENYART, DOUGLAS ALLEN,MO,8,CON,2014
STOCKER, BARBARA HAMILL,MO,8,DEM,2014
MAHN, DANIEL TODD,MO,8,DEM,2014
HODGES, STEVE,MO,8,DEM,2014
BROWN, THEODIS JR,MO,8,NNE,2014
SOTELO, PEDRO JUAN,MO,8,REP,2014
VANDEVEN, RICK,MO,8,LIB,2014
GEORGE, ROBERT WILBURN MD,MO,8,IND,2014
SMITH, JASON T,MO,8,REP,2014
HAMPTON, TERRY LYNN,MO,8,IND,2014
SALAS, ANDREW SABLAN,MP,0,DEM,2014
SABLAN, GREGORIO KILILI CAMACHO,MP,0,IND,2014
WALLEY, LAJENA,MS,1,REF,2014
WEATHERS, REX,MS,1,DEM,2014
DICKEY, RON ,MS,1,DEM,2014
NUNNELEE, PATRICK ALAN,MS,1,REP,2014
BEDWELL, DANNY,MS,1,LIB,2014
FAIRCONETUE, DAMIEN,MS,2,DEM,2014
RAY, TROY,MS,2,IND,2014
THOMPSON, BENNIE G.,MS,2,DEM,2014
SHOEMAKE, SHELLEY,MS,2,REF,2014
WASHER, BARBARA DALE,MS,3,REF,2014
CARAWAY, HARDY,MS,3,REP,2014
LILJEBERG, JIM,MS,3,DEM,2014
QUINN, DENNIS C.,MS,3,DEM,2014
GERRARD, ROGER,MS,3,IND,2014
HARPER, GREGG,MS,3,REP,2014
CAUSEY, TRISH,MS,4,DEM,2014
JACKSON, ELI 'SARGE',MS,4,REF,2014
BURLESON, CINDY,MS,4,IND,2014
PALAZZO, STEVEN MCCARTY,MS,4,REP,2014
CARTER, THOMAS G,MS,4,REP,2014
MOORE, MATTHEW RYAN SR,MS,4,DEM,2014
KELLY, TAVISH CORDERO,MS,4,REP,2014
REICH, EDWARD DONALD,MS,4,IND,2014
TAYLOR, GENE,MS,4,REP,2014
VINCENT, RONALD J,MS,4,REP,2014
ROBINSON, JOSEPH A JR,MS,4,LIB,2014
MAGEE, DOUGLAS MACARTHUR (DOUG),MS,NA,DEM,2014
ARNTZEN, ELSIE,MT,0,REP,2014
STAPLETON, COREY,MT,0,REP,2014
WHITE WOLF, SHAWN PAUL,MT,0,IND,2014
FELLOWS, MIKE,MT,0,LIB,2014
DRISCOLL, JOHN BRIAN,MT,0,DEM,2014
TURIANO, DREW,MT,0,REP,2014
ROSENDALE, MATT,MT,0,REP,2014
LEWIS, JOHN,MT,0,DEM,2014
ZINKE, RYAN K,MT,0,REP,2014
PURCELL, ROBIN,NC,0,IND,2014
SHYPULEFSKI, JOHN BRENT,NC,1,REP,2014
RICH, ARTHUR JASON,NC,1,REP,2014
HEWLIN, RODWARD LORENZO JR,NC,1,DEM,2014
WHITTACRE, DANIEL-LYNN,NC,1,DEM,2014
BUTTERFIELD, G K,NC,1,DEM,2014
ROCHE, FRANK X,NC,2,REP,2014
CRISCO, KEITH,NC,2,DEM,2014
MORRIS, ANTOINETTE TONI,NC,2,DEM,2014
BARNES, HOUSTON,NC,2,DEM,2014
AIKEN, CLAYTON CLAY,NC,2,DEM,2014
ELLMERS, RENEE JACISIN,NC,2,REP,2014
MALAGISI, MICHAEL P,NC,3,REP,2014
GRIFFIN, WILLIAM TAYLOR,NC,3,REP,2014
THIGPEN, JASON RAY,NC,3,DEM,2014
NOVINEC, AL 'BIG AL',NC,3,REP,2014
ADAME, MARSHALL RICHARD,NC,3,DEM,2014
JONES, WALTER B.,NC,3,REP,2014
WRIGHT, PAUL M,NC,4,REP,2014
PRICE, DAVID E.,NC,4,DEM,2014
HENLEY, GARDENIA M,NC,5,DEM,2014
STINSON, WILLIAM CLINTON,NC,5,DEM,2014
BRANNON, JOSHUA 'JOSH' ETHAN,NC,5,DEM,2014
HOLLEMAN, MICHAEL W.,NC,5,DEM,2014
DOYLE, PHILIP,NC,5,REP,2014
FOXX, VIRGINIA ANN,NC,5,REP,2014
COLLISON, DANIEL EUGENE,NC,6,REP,2014
MATHENY, BRYAN ZACHARY,NC,6,REP,2014
CAUSEY, JOHN MICHAEL,NC,6,REP,2014
PHILLIPS, JEFFREY MARLIN,NC,6,REP,2014
SUTHERLAND, CHARLES TAYLOR,NC,6,REP,2014
FJELD, LAURA,NC,6,DEM,2014
WEBB, DON,NC,6,REP,2014
VONCANNON, BRUCE DOUGLAS,NC,6,REP,2014
KOPF, KENNETH ALBERT,NC,6,REP,2014
WALKER, BRADLEY MARK,NC,6,REP,2014
ADAMS, DANIELLE,NC,6,DEM,2014
BERGER, PHILIP EDWARD JR,NC,6,REP,2014
DAVIS, BRUCE EDWARD SR,NC,6,DEM,2014
CASTEEN, J WESLEY,NC,7,LIB,2014
ROUZER, DAVID CHESTON MR.,NC,7,REP,2014
MARTIN, WALTER, JR.,NC,7,DEM,2014
BARFIELD, JONATHAN JR,NC,7,DEM,2014
ANDRADE, CHRISTOPHER ALEN,NC,7,REP,2014
HARMATI, LOUIS,NC,7,OTH,2014
WHITE, HAYWOOD EDWIN III,NC,7,REP,2014
HUDSON, RICHARD L. JR.,NC,8,REP,2014
BLUE, ANTONIO,NC,8,DEM,2014
PITTENGER, ROBERT M. THE HON.,NC,9,REP,2014
ECKLES, SHAWN,NC,9,UNK,2014
STEINBRRG, MICHAEL,NC,9,REP,2014
STEINBERG, MICHAEL DAVID,NC,9,REP,2014
LYNCH, RICHARD JASON,NC,10,REP,2014
MACQUEEN, TATE,NC,10,DEM,2014
MCHENRY, PATRICK TIMOTHY,NC,10,REP,2014
RUEHL, KEITH GARY,NC,11,DEM,2014
RITCH, JOHN THOMAS,NC,11,LIB,2014
MEADOWS, MARK R,NC,11,REP,2014
HILL, TOM,NC,11,DEM,2014
EARLE, BEVERLY MILLER,NC,12,DEM,2014
MITCHELL, JAMES,NC,12,DEM,2014
BRANDON, MARCUS,NC,12,DEM,2014
THREATT, ARCHIE LEON,NC,12,REP,2014
OSBORNE, CURTIS C,NC,12,DEM,2014
PATEL, RAGIVE,NC,12,DEM,2014
MOORE, RODNEY WAYNE,NC,12,DEM,2014
COAKLEY, VINCENT EDWARD,NC,12,REP,2014
BATTLE, GEORGE EDWARD III,NC,12,DEM,2014
GRAHAM, MALCOLM,NC,12,DEM,2014
ADAMS, ALMA SHEALEY,NC,12,DEM,2014
CONLON, VIRGINIA,NC,13,DEM,2014
CLEARY, BRENDA LEWIS,NC,13,DEM,2014
CORCORAN, THERESA L,NC,13,DEM,2014
SANYAL, ARUNAVA 'RON',NC,13,DEM,2014
HOLDING, GEORGE E MR.,NC,13,REP,2014
SEAMAN, ROBERT J 'JACK',ND,0,LIB,2014
SINNER, GEORGE B,ND,0,DEM,2014
CRAMER, KEVIN MR.,ND,0,REP,2014
FORTENBERRY, JEFFREY,NE,1,REP,2014
TUREK, JESSICA LYNN,NE,1,REP,2014
CRAWFORD, DENNIS P,NE,1,DEM,2014
PARKER, DENNIS L,NE,1,REP,2014
AUPPENLE, MARK A,NE,2,DEM,2014
AUPPERLE, MARK,NE,2,DEM,2014
FESTERSEN, PETE,NE,2,DEM,2014
LAIRD, STEVEN C.,NE,2,LIB,2014
MAXWELL, CHIP,NE,2,OTH,2014
SHAMBAUGH, ANDY,NE,2,LIB,2014
ASHFORD, BRAD,NE,2,DEM,2014
FREI, DANIEL EDWARD,NE,2,REP,2014
TERRY, LEE,NE,2,REP,2014
BREWER, TOM,NE,3,REP,2014
SULLIVAN, MARK,NE,3,DEM,2014
SMITH, ADRIAN,NE,3,REP,2014
KELLY, BRENDAN,NH,1,REP,2014
JABOUR, EVERETT,NH,1,REP,2014
GUINTA, FRANK,NH,1,REP,2014
INNIS, DANIEL E,NH,1,REP,2014
SHEA-PORTER, CAROL,NH,1,DEM,2014
CHABOT, BRIAN H.,NH,2,IND,2014
O'BRIEN, WILLIAM L,NH,2,REP,2014
LITTLE, MIKE,NH,2,REP,2014
GARCIA, MARILINDA,NH,2,REP,2014
KUSTER, ANN MCLANE,NH,2,DEM,2014
LAMBERT, GARY,NH,2,REP,2014
LAWRENCE, JAMES,NH,2,REP,2014
MCMANUS, GERARD,NJ,1,REP,2014
LETTON, DONALD E.,NJ,1,OTH,2014
CHAPMAN, MARGARET M,NJ,1,OTH,2014
TOMASZEWSKI, SCOT JOHN,NJ,1,IND,2014
LUCAS, LEE,NJ,1,REP,2014
BROOMELL, FRANK CRAIG JR,NJ,1,DEM,2014
BERMAN, MIKE,NJ,1,OTH,2014
SHAPIRO, ROBERT,NJ,1,OTH,2014
COBB, GARY WILBERT,NJ,1,REP,2014
HARRIS, MATTHEW JOSEPH,NJ,1,DEM,2014
GUSTAFSON, CLAIRE H,NJ,1,REP,2014
MINOR, FRANK WAYNE,NJ,1,DEM,2014
NORCROSS, DONALD W,NJ,1,DEM,2014
ASSAD, MIKE,NJ,2,REP,2014
ROZZO, COSTANTINO,NJ,2,OTH,2014
OLABISI, BAYODE,NJ,2,IND,2014
SPANO, ALEXANDER,NJ,2,OTH,2014
STEIN, GARY,NJ,2,IND,2014
HUGHES, WILLIAM J JR,NJ,2,DEM,2014
COLE, DAVID HAGERTY,NJ,2,DEM,2014
LOBIONDO, FRANK A.,NJ,2,REP,2014
TODD, BRUCE,NJ,3,DEM,2014
ISOLA, CHRIS,NJ,3,REP,2014
FREDERICK, JOHN LAVERGNE,NJ,3,OTH,2014
MACARTHUR, THOMAS,NJ,3,REP,2014
HILL, MAURICE B JR,NJ,3,REP,2014
FANOUS, JACK,NJ,3,DEM,2014
BELGARD, AIMEE,NJ,3,DEM,2014
LONEGAN, STEVEN,NJ,3,REP,2014
KLEINHENDLER, HOWARD,NJ,3,DEM,2014
NEUMAN, SCOTT,NJ,4,OTH,2014
GANDOLFO, ANGELA MARIE,NJ,4,DEM,2014
SCOLAVINO, RUBEN M,NJ,4,DEM,2014
SMITH, CHRISTOPHER H.,NJ,4,REP,2014
SARE, DIANE,NJ,5,DEM,2014
QUICK, MARK D.,NJ,5,OTH,2014
CHO, ROY,NJ,5,DEM,2014
MAGUIRE, ANDY,NJ,5,DEM,2014
GARRETT, SCOTT REP.,NJ,5,REP,2014
CHOI, JUN,NJ,6,DEM,2014
GOIKHMAN, DORIT,NJ,6,LIB,2014
LITTLE, ANNA C,NJ,6,REP,2014
WILKINSON, ANTHONY E,NJ,6,REP,2014
PALLONE, FRANK JR,NJ,6,DEM,2014
LARSEN, DAVID KENNY,NJ,7,REP,2014
KOVACH, JANICE,NJ,7,DEM,2014
GAWRON, JIM,NJ,7,LIB,2014
LANCE, LEONARD,NJ,7,REP,2014
TISCORNIA, JUDE ANTHONY,NJ,8,REP,2014
OLIVERA, PABLO,NJ,8,0TH,2014
THORNE, ROBERT,NJ,8,OTH,2014
SHAW, HERBERT H,NJ,8,OTH,2014
SIRES, ALBIO,NJ,8,DEM,2014
MONTILLA, NESTOR,NJ,9,OTH,2014
WILDES, MICHAEL,NJ,9,DEM,2014
PASCRELL, WILLIAM J. HON. JR.,NJ,9,DEM,2014
PAUL, DIERDRE ,NJ,9,REP,2014
TOUSSAINT, ROBERT LOUIS,NJ,10,DEM,2014
FRANKLIN, GWENDOLYN A.,NJ,10,OTH,2014
ANGEL, DARK,NJ,10,OTH,2014
VAUGHN, CURTIS ALPHONZO, III,NJ,10,DEM,2014
FRASER, AARON WALTER,NJ,10,DEM,2014
DENTLEY, YOLANDA,NJ,10,REP,2014
PAYNE, DONALD M., JR.,NJ,10,DEM,2014
BROGOWSKI, LEE ANNE,NJ,11,DEM,2014
MURPHY, BRIAN,NJ,11,DEM,2014
DUNEC, MARK S,NJ,11,DEM,2014
FRELINGHUYSEN, RODNEY P.,NJ,11,REP,2014
VAN GLAHN, RICHARD EDWARD,NJ,11,REP,2014
GREENSTEIN, LINDA,NJ,12,DEM,2014
CANNON, ALLEN J,NJ,12,OTH,2014
FREUDENHEIM, JACK,NJ,12,OTH,2014
CODY, KENNETH J.,NJ,12,OTH,2014
DEZARN, DON,NJ,12,OTH,2014
WELZER, STEVEN,NJ,12,GRE,2014
CHIVUKULA, UPENDRA J,NJ,12,DEM,2014
COLEMAN, BONNIE WATSON,NJ,12,DEM,2014
ZWICKER, ANDREW,NJ,12,DEM,2014
ECK, ALIETA DR,NJ,12,REP,2014
FRESE, MICHAEL HARRY,NM,1,REP,2014
MCENTEE, MICHAEL E,NM,1,REP,2014
PRIEM, RICHARD G,NM,1,REP,2014
GRISHAM, MICHELLE LUJAN,NM,1,DEM,2014
MCGRANN, JACK A,NM,2,REP,2014
ENDEAN-SINGH, LESLIE,NM,2,DEM,2014
LARA, ROXANNE,NM,2,DEM,2014
PEARCE, STEVAN E.,NM,2,REP,2014
BLANCH, ROBERT J JR,NM,3,DEM,2014
HOOK, THOMAS F,NM,3,DEM,2014
BYRD, JEFFERSON LEE,NM,3,REP,2014
LUJAN, BEN R MR.,NM,3,DEM,2014
PETERS, HERBERT GLENN,NV,1,DEM,2014
WELSH, DARREN JENNINGS,NV,1,DEM,2014
CHARLES, RICHARD 'RICARDO CARLOS',NV,1,LIB,2014
BAKARI, KAMAU AKIL,NV,1,IAP,2014
PADILLA, JOSE,NV,1,REP,2014
TEIJEIRO, ANNETTE,NV,1,REP,2014
TITUS, DINA,NV,1,DEM,2014
ALM, VANCE STEVEN,NV,2,DEM,2014
LEE, ED,NV,2,DEM,2014
DEMPSEY, BRIAN,NV,2,DEM,2014
HANSEN, JANINE,NV,2,IAP,2014
SPEES, KRISTEN,NV,2,DEM,2014
AMODEI, MARK EUGENE,NV,2,REP,2014
KASSELA, FRANK,NV,3,DEM,2014
CAMPBELL, ZACHARY S,NV,3,DEM,2014
KIMMICK, RANDY JAMES,NV,3,LIB,2014
GOOSSEN, DAVID SCOTT,NV,3,IND,2014
STJOHN, STEVEN,NV,3,IND,2014
HECK, JOE,NV,3,REP,2014
KOHN, ERIN BILBRAY,NV,3,DEM,2014
HORSFORD, STEVEN ALEXZANDER,NV,4,DEM,2014
INNIS, NIGER,NV,4,REP,2014
BEST, RUSSELL,NV,4,IAP,2014
ZELLER, SIDNEY,NV,4,DEM,2014
BUDETICH, MARK J. JR,NV,4,DEM,2014
MONROE, MIKE,NV,4,REP,2014
POLIAK, CARLO 'MAZUNGA',NV,4,REP,2014
BROWN, STEVE,NV,4,LIB,2014
HARDY, CRESENT,NV,4,REP,2014
STROM, JASON,NY,1,GRE,2014
ZELDIN, LEE M,NY,1,REP,2014
DEMOS, GEORGE,NY,1,REP,2014
BISHOP, TIMOTHY,NY,1,DEM,2014
KING, PETER T. HON.,NY,2,REP,2014
STEVENSON, WILLIAM D.,NY,2,GRE,2014
MAHER, PATRICIA M,NY,2,DEM,2014
LALLY, GRANT M,NY,3,REP,2014
ISRAEL, STEVE J.,NY,3,DEM,2014
LABATE, STEPHEN A,NY,3,REP,2014
SILVERSTEIN, DAVID A,NY,4,REP,2014
VISTA, MICHAEL,NY,4,REP,2014
RINES, CAPRICE,NY,4,CON,2014
KYRILLIDIS, PAUL,NY,4,IND,2014
BLAKEMAN, BRUCE,NY,4,REP,2014
RICE, KATHLEEN,NY,4,DEM,2014
SCATURRO, FRANK MR.,NY,4,REP,2014
ABRAHAMS, KEVAN,NY,4,DEM,2014
BECKER, FRANCIS X. JR.,NY,4,REP,2014
ACKERMAN, GARY L.,NY,5,DEM,2014
SEMPLE, BERNADETTE,NY,5,DEM,2014
MARTHONE, JOSEPH R,NY,5,DEM,2014
STEINHARDT, ALLEN FRANK,NY,5,IND,2014
LAWRENCE, NATHAN MARTIN,NY,5,IND,2014
