Bonner, Jo#AL#1#REP#2008#210660#1
Schmookler, Andy B.#VA#6#DEM#2012#111949#0.346347923
Cantor, Eric I.#VA#7#REP#2012#222983#0.585264898
Powell, E. Wayne#VA#7#DEM#2012#158012#0.414735102
"""Moran, James P. """"Jim,"""" Jr."""#VA#8#DEM#2012#226847#0.647427665
Murray, J. Patrick#VA#8#REP#2012#107370#0.306436975
Howell, Jason J.#VA#8#IND#2012#10180#0.029054004
Murphy, Janet#VA#8#OTHER#2012#5985#0.017081357
Griffith, H. Morgan#VA#9#REP#2012#184882#0.613650998
Flaccavento, Anthony J.#VA#9#DEM#2012#116400#0.386349002
Wolf, Frank R.#VA#10#REP#2012#214038#0.584935928
Cabral, Kristin A.#VA#10#DEM#2012#142024#0.388131735
Chisholm, J. Kevin#VA#10#IND#2012#9855#0.026932337
"""Connolly, Gerald E. """"Gerry"""""""#VA#11#DEM#2012#202606#0.611262464
Perkins, Chris S.#VA#11#REP#2012#117902#0.355710428
Gibson, Mark T.#VA#11#IND#2012#3806#0.011482705
DeCarlo, Christopher F.#VA#11#IND#2012#3027#0.009132461
Galdo, Joe F. Jr.#VA#11#GRE#2012#2195#0.006622317
Marchetti, Peter M.#VA#11#OTHER#2012#1919#0.005789625
DelBene, Suzan#WA#1#DEM#2012#177025#0.539361754
Koster, John#WA#1#REP#2012#151187#0.460638246
Larsen, Rick#WA#2#DEM#2012#184826#0.611417475
Matthews, Dan#WA#2#REP#2012#117465#0.388582525
Beutler, Jaime Herrera#WA#3#REP#2012#177446#0.603796056
Haugen, Jon T.#WA#3#DEM#2012#116438#0.396203944
Hastings, Doc#WA#4#REP#2012#154749#0.662200617
Baechler, Mary#WA#4#DEM#2012#78940#0.337799383
Rodgers, Cathy McMorris#WA#5#REP#2012#191066#0.619182184
Cowan, Rich#WA#5#DEM#2012#117512#0.380817816
Kilmer, Derek#WA#6#DEM#2012#186661#0.589978697
Driscoll, Bill#WA#6#REP#2012#129725#0.410021303
McDermott, Jim#WA#7#DEM#2012#298368#0.796540125
Bemis, Ron#WA#7#REP#2012#76212#0.203459875
Reichert, Dave#WA#8#REP#2012#180204#0.596524215
Porterfield, Karen#WA#8#DEM#2012#121886#0.403475785
Smith, Adam#WA#9#DEM#2012#192034#0.716173328
Postma, Jim#WA#9#REP#2012#76105#0.283826672
Heck, Denny#WA#10#DEM#2012#163036#0.585582059
Muri, Richard (Dick)#WA#10#REP#2012#115381#0.414417941
McKinley, David B.#WV#1#REP#2012#133809#0.624834813
Thorn, Sue#WV#1#DEM#2012#80342#0.375165187
Capito, Shelley Moore#WV#2#REP#2012#158206#0.697661907
Swint, Howard#WV#2#DEM#2012#68560#0.302338093
Rahall, Nick J., II#WV#3#DEM#2012#108199#0.539815503
Snuffer, Rick#WV#3#REP#2012#92238#0.460184497
Ryan, Paul#WI#1#REP#2012#200423#0.549268138
Zerban, Rob#WI#1#DEM#2012#158414#0.434140606
Deschler, Keith#WI#1#LIB#2012#6054#0.016591256
Pocan, Mark#WI#2#DEM#2012#265422#0.680375585
Lee, Chad#WI#2#REP#2012#124683#0.319609034
Kopsick, Joe#WI#2#WRI#2012#6#1.54E-05
Kind, Ron#WI#3#DEM#2012#217712#0.641414156
Boland, Ray#WI#3#REP#2012#121713#0.358585844
Moore, Gwen#WI#4#DEM#2012#235257#0.723153439
Sebring, Dan#WI#4#REP#2012#80787#0.248330111
Raymond, Robert R.#WI#4#IND#2012#9277#0.02851645
Sensenbrenner, F. James, Jr.#WI#5#REP#2012#250335#0.678758612
Heaster, Dave#WI#5#DEM#2012#118478#0.321241388
Petri, Tom#WI#6#REP#2012#223460#0.621791358
Kallas, Joe#WI#6#DEM#2012#135921#0.378208642
Duffy, Sean#WI#7#REP#2012#201720#0.561481251
Kreitlow, Pat#WI#7#DEM#2012#157524#0.43846308
Lehner, Dale C.#WI#7#WRI#2012#20#5.57E-05
Ribble, Reid J.#WI#8#REP#2012#198874#0.5599545
Wall, Jamie#WI#8#DEM#2012#156287#0.4400455
Lummis, Cynthia M.#WY#0#REP#2012#166452#0.690085197
Henrichsen, Chris#WY#0#DEM#2012#57573#0.238689082
Brubaker, Richard P.#WY#0#LIB#2012#8442#0.034999274
Cummings, Daniel Clyde#WY#0#OTHER#2012#4963#0.020575859
Wills, Don#WY#0#OTHER#2012#3775#0.015650588
Byrne, Bradley#AL#1#REP#2014#103758#0.682456787
LeFlore, Burton R.#AL#1#DEM#2014#48278#0.317543213
Roby, Martha#AL#2#REP#2014#113103#0.67405465
Wright, Erick#AL#2#DEM#2014#54692#0.32594535
Rogers, Mike#AL#3#REP#2014#103558#0.662245642
Smith, Jesse T.#AL#3#DEM#2014#52816#0.337754358
Aderholt, Robert#AL#4#REP#2014#132831#1
Brooks, Mo#AL#5#REP#2014#115338#0.747283647
Bray, Mark#AL#5#IND#2014#39005#0.252716353
Palmer, Gary#AL#6#REP#2014#135945#0.762724702
Lester, Mark#AL#6#DEM#2014#42291#0.237275298
Sewell, Terri A.#AL#7#DEM#2014#133687#1
Young, Don#AK#0#REP#2014#142572#0.511994369
Dunbar, Forrest#AK#0#DEM#2014#114602#0.411550506
McDermott, Jim C.#AK#0#LIB#2014#21290#0.076455125
Kirkpatrick, Ann#AZ#1#DEM#2014#97391#0.526113638
Tobin, Andy#AZ#1#REP#2014#87723#0.473886362
McSally, Martha#AZ#2#REP#2014#109714#0.500143596
Barber, Ron#AZ#2#DEM#2014#109547#0.499382308
Ramirez, Sampson U.#AZ#2#WRI#2014#56#0.000255282
Dudikoff, Sydney#AZ#2#WRI#2014#48#0.000218813
Grijalva, Raul#AZ#3#DEM#2014#58192#0.557245183
Saucedo Mercer, Gabby#AZ#3#REP#2014#46185#0.442266442
Sánchez, F.#AZ#3#WRI#2014#43#0.000411767
Thompson, Lee#AZ#3#WRI#2014#8#7.66E-05
Gosar, Paul#AZ#4#REP#2014#122560#0.699627238
Weisser, Mike#AZ#4#DEM#2014#45179#0.257901917
Rike, Chris#AZ#4#OTHER#2014#7440#0.042470844
Salmon, Matt#AZ#5#REP#2014#124867#0.695781303
Woods, James#AZ#5#DEM#2014#54596#0.304218697
Schweikert, David#AZ#6#REP#2014#129578#0.64861645
Williamson, W. John#AZ#6#DEM#2014#70198#0.35138355
Gallego, Ruben#AZ#7#DEM#2014#54235#0.748543904
Cobb, Joe#AZ#7#LIB#2014#10715#0.147886935
DeWitt, Rebecca#AZ#7#OTHER#2014#3858#0.053247578
Peñalosa, José#AZ#7#OTHER#2014#3496#0.048251304
Dunn, Gary#AZ#7#WRI#2014#129#0.00178044
Ortega, Gustavo#AZ#7#WRI#2014#17#0.000234632
Esquivel, Samuel#AZ#7#WRI#2014#4#5.52E-05
Franks, Trent#AZ#8#REP#2014#128710#0.758116577
Dolgos, Stephen#AZ#8#OTHER#2014#41066#0.241883423
Sinema, Kyrsten#AZ#9#DEM#2014#88609#0.546759882
Rogers, Wendy#AZ#9#REP#2014#67841#0.418611396
Gammill, Powell#AZ#9#OTHER#2014#5612#0.034628722
Crawford, Rick#AR#1#REP#2014#124139#0.632536075
McPherson, Jackie#AR#1#DEM#2014#63555#0.323837233
Willhite, Brian Scott#AR#1#LIB#2014#8562#0.043626692
Hill, French#AR#2#REP#2014#123073#0.518573295
Hays, Patrick Henry#AR#2#DEM#2014#103477#0.436004719
Standiford, Debbie#AR#2#LIB#2014#10590#0.044621413
Neely, Charles#AR#2#WRI#2014#190#0.000800573
Womack, Steve#AR#3#REP#2014#151630#0.794144604
Brand, Grant#AR#3#LIB#2014#39305#0.205855396
Westerman, Bruce#AR#4#REP#2014#110789#0.537468891
Witt, James Lee#AR#4#DEM#2014#87742#0.425661351
Hamilton, Ken#AR#4#LIB#2014#7598#0.036860055
Percefull, Janis K.#AR#4#WRI#2014#2#9.70E-06
La Malfa, Doug#CA#1#REP#2014#132052#0.610300778
Hall, Heidi#CA#1#DEM#2014#84320#0.389699222
Huffman, Jared#CA#2#DEM#2014#163124#0.749912653
Mensing, Dale K.#CA#2#REP#2014#54400#0.250087347
Garamendi, John#CA#3#DEM#2014#79224#0.527246107
Logue, Dan#CA#3#REP#2014#71036#0.472753893
McClintock, Tom#CA#4#REP#2014#126784#0.600490684
"""Moore, Arthur """"Art"""""""#CA#4#REP#2014#84350#0.399509316
Thompson, Mike#CA#5#DEM#2014#129613#0.757315306
Hinton, James#CA#5#OTHER#2014#41535#0.242684694
Matsui, Doris#CA#6#DEM#2014#97008#0.72689126
McCray, Joseph, Sr.#CA#6#REP#2014#36448#0.27310874
Bera, Ami#CA#7#DEM#2014#92521#0.503962699
Ose, Doug#CA#7#REP#2014#91066#0.496037301
Cook, Paul#CA#8#REP#2014#77480#0.676468534
Conaway, Bob#CA#8#DEM#2014#37056#0.323531466
McNerney, Jerry#CA#9#DEM#2014#63475#0.523703838
"""Amador, Antonio C. """"Tony"""""""#CA#9#REP#2014#57729#0.476296162
Denham, Jeff#CA#10#REP#2014#70582#0.561489201
Eggman, Michael#CA#10#DEM#2014#55123#0.438510799
Desaulnier, Mark#CA#11#DEM#2014#117502#0.672739348
Phan, Tue#CA#11#REP#2014#57160#0.327260652
Pelosi, Nancy#CA#12#DEM#2014#160067#0.832537553
Dennis, John#CA#12#REP#2014#32197#0.167462447
Lee, Barbara#CA#13#DEM#2014#168491#0.884787666
Sundeen, Dakin#CA#13#REP#2014#21940#0.115212334
Speier, Jackie#CA#14#DEM#2014#114389#0.766959892
Chew, Robin#CA#14#REP#2014#34757#0.233040108
Swalwell, Eric#CA#15#DEM#2014#99756#0.698053266
Bussell, Hugh#CA#15#REP#2014#43150#0.301946734
Costa, Jim#CA#16#DEM#2014#46277#0.507311993
Tacherra, Johnny#CA#16#REP#2014#44943#0.492688007
Honda, Mike#CA#17#DEM#2014#69561#0.517536159
Khanna, Ro#CA#17#DEM#2014#64847#0.482463841
Eshoo, Anna G.#CA#18#DEM#2014#133060#0.677543206
Fox, Richard B.#CA#18#REP#2014#63326#0.322456794
Lofgren, Zoe#CA#19#DEM#2014#85888#0.672113187
Murray, Robert#CA#19#DEM#2014#41900#0.327886813
Farr, Sam#CA#20#DEM#2014#106034#0.751779587
Kabat, Ronald Paul#CA#20#OTHER#2014#35010#0.248220413
Valadao, David#CA#21#REP#2014#45907#0.578341333
Renteria, Amanda#CA#21#DEM#2014#33470#0.421658667
Nunes, Devin G.#CA#22#REP#2014#96053#0.720350677
"""Augilera-Marrero, Suzanna """"Sam"""""""#CA#22#DEM#2014#37289#0.279649323
McCarthy, Kevin#CA#23#REP#2014#100317#0.748394172
Garcia, Raul#CA#23#DEM#2014#33726#0.251605828
Capps, Lois#CA#24#DEM#2014#103228#0.519271205
Mitchum, Chris#CA#24#REP#2014#95566#0.480728795
Knight, Steve#CA#25#REP#2014#60847#0.533408724
Strickland, Tony#CA#25#REP#2014#53225#0.466591276
Brownley, Julia#CA#26#DEM#2014#87176#0.513316336
Gorell, Jeff#CA#26#REP#2014#82653#0.486683664
Chu, Judy#CA#27#DEM#2014#75728#0.59357266
Orswell, Jack#CA#27#REP#2014#51852#0.40642734
Schiff, Adam B.#CA#28#DEM#2014#91996#0.764950442
Stokes, Steve#CA#28#OTHER#2014#28268#0.235049558
Cardenas, Tony#CA#29#DEM#2014#50096#0.746131276
Leader, William O'Callaghan#CA#29#REP#2014#17045#0.253868724
Sherman, Brad#CA#30#DEM#2014#86568#0.656399991
Reed, Mark S.#CA#30#REP#2014#45315#0.343600009
Aguilar, Pete#CA#31#DEM#2014#51622#0.517337449
Chabot, Paul#CA#31#REP#2014#48162#0.482662551
Napolitano, Grace F.#CA#32#DEM#2014#50353#0.596557117
Alas, Arturo Enrique#CA#32#REP#2014#34053#0.403442883
Lieu, Ted#CA#33#DEM#2014#108331#0.591872415
Carr, Elan#CA#33#REP#2014#74700#0.408127585
Becerra, Xavier#CA#34#DEM#2014#44697#0.72535337
Edwards, Adrienne Nicole#CA#34#DEM#2014#16924#0.27464663
Torres, Norma J.#CA#35#DEM#2014#39502#0.634519316
Gagnier, Christina#CA#35#DEM#2014#22753#0.365480684
Ruiz, Raul#CA#36#DEM#2014#72682#0.541840926
Nestande, Brian#CA#36#REP#2014#61457#0.458159074
Bass, Karen#CA#37#DEM#2014#96787#0.842813354
King, R. Adam#CA#37#REP#2014#18051#0.157186646
Sanchez, Linda T.#CA#38#DEM#2014#58192#0.590901706
Campos, Benjamin#CA#38#REP#2014#40288#0.409098294
Royce, Ed#CA#39#REP#2014#91319#0.685449428
Anderson, Peter O.#CA#39#DEM#2014#41906#0.314550572
Roybal-Allard, Lucille#CA#40#DEM#2014#30208#0.611758035
Sanchez, David#CA#40#DEM#2014#19171#0.388241965
Takano, Mark#CA#41#DEM#2014#46948#0.566430192
Adams, Steve#CA#41#REP#2014#35936#0.433569808
Calvert, Ken#CA#42#REP#2014#74540#0.657377194
Sheridan, Tim#CA#42#DEM#2014#38850#0.342622806
Waters, Maxine#CA#43#DEM#2014#69681#0.709568033
Wood, John, Jr.#CA#43#REP#2014#28521#0.290431967
Hahn, Janice#CA#44#DEM#2014#59670#0.86651564
Shbeita, Adam#CA#44#OTHER#2014#9192#0.13348436
Walters, Mimi#CA#45#REP#2014#106083#0.651207474
Leavens, Drew E.#CA#45#DEM#2014#56819#0.348792526
Sanchez, Loretta#CA#46#DEM#2014#49738#0.596987337
Nick, Adam#CA#46#REP#2014#33577#0.403012663
Lowenthal, Alan#CA#47#DEM#2014#69091#0.559894652
Whallon, Andy#CA#47#REP#2014#54309#0.440105348
Rohrabacher, Dana#CA#48#REP#2014#112082#0.641219715
Savary, Suzanne Joyce#CA#48#DEM#2014#62713#0.358780285
Issa, Darrell#CA#49#REP#2014#98161#0.601690552
Peiser, Dave#CA#49#DEM#2014#64981#0.398309448
Hunter, Duncan D.#CA#50#REP#2014#111997#0.712000712
Kimber, James H.#CA#50#DEM#2014#45302#0.287999288
Vargas, Juan#CA#51#DEM#2014#56373#0.687895058
Meade, Stephen#CA#51#REP#2014#25577#0.312104942
Peters, Scott#CA#52#DEM#2014#98826#0.515868707
DeMaio, Carl#CA#52#REP#2014#92746#0.484131293
Davis, Susan A.#CA#53#DEM#2014#87104#0.588365621
Wilske, Larry A.#CA#53#REP#2014#60940#0.411634379
DeGette, Diana#CO#1#DEM#2014#183281#0.658114717
Walsh, Martin#CO#1#REP#2014#80682#0.289708216
Atwood, Frank#CO#1#LIB#2014#9292#0.033365171
Stroud, Danny E.#CO#1#OTHER#2014#5236#0.018801123
Kirschler, Daniel#CO#1#WRI#2014#2#7.18E-06
Blackburn, Logan#CO#1#WRI#2014#1#3.59E-06
Polis, Jared#CO#2#DEM#2014#196300#0.567431239
Leing, George#CO#2#REP#2014#149645#0.432568761
Tipton, Scott R.#CO#3#REP#2014#163011#0.579819379
Tapia, Abel J.#CO#3#DEM#2014#100364#0.356988131
Casida, Tisha T.#CO#3#OTHER#2014#11294#0.040172013
Mero, Travis#CO#3#LIB#2014#6472#0.023020477
Buck, Ken#CO#4#REP#2014#185292#0.646727654
Meyers, Vic#CO#4#DEM#2014#83727#0.292233698
Loban, Jess#CO#4#LIB#2014#9472#0.033060274
Doherty, Grant#CO#4#OTHER#2014#8016#0.027978374
Lamborn, Doug#CO#5#REP#2014#157182#0.597979875
Halter, Irv#CO#5#DEM#2014#105673#0.402020125
Coffman, Mike#CO#6#REP#2014#143467#0.518980611
Romanoff, Andrew#CO#6#DEM#2014#118847#0.429919693
Olsen, Norm#CO#6#LIB#2014#8623#0.031193026
Swing, Gary#CO#6#GRE#2014#5503#0.019906671
Perlmutter, Ed#CO#7#DEM#2014#148225#0.550729538
Ytterberg, Don#CO#7#REP#2014#120918#0.449270462
Larson, John B.#CT#1#OTHER#2014#135825#0.62339075
Corey, Matthew M.#CT#1#REP#2014#78609#0.360788687
Russell, Jeffery#CT#1#GRE#2014#3447#0.015820563
Courtney, Joe#CT#2#OTHER#2014#141948#0.622753755
Hopkins-Cavanagh, Lori#CT#2#REP#2014#80837#0.354647796
Clyde, William C.#CT#2#GRE#2014#2549#0.011182964
Reale, Daniel#CT#2#LIB#2014#2602#0.011415485
DeLauro, Rosa L.#CT#3#OTHER#2014#140485#0.669170569
Brown, James E.#CT#3#REP#2014#69454#0.330829431
Himes, Jim#CT#4#OTHER#2014#106873#0.537590543
Debicella, Dan#CT#4#OTHER#2014#91922#0.462384306
Miller, Stephen A.#CT#4#WRI#2014#3#1.51E-05
Pastore, Sophie E.#CT#4#WRI#2014#2#1.01E-05
Esty, Elizabeth#CT#5#OTHER#2014#113564#0.532411944
Pistone, John J.#CT#5#OTHER#2014#1970#0.009235775
Greenberg, Mark#CT#5#OTHER#2014#97767#0.458352282
Carney, John C., Jr.#DE#0#DEM#2014#137251#0.592577401
Izzo, Rose#DE#0#REP#2014#85146#0.367615503
August, Bernard#DE#0#GRE#2014#4801#0.020728185
Gesty, Scott#DE#0#LIB#2014#4419#0.01907891
Miller, Jeff#FL#1#REP#2014#165086#0.70146977
Bryan, Jim#FL#1#DEM#2014#54976#0.23359947
Wichern, Mark#FL#1#NON#2014#15281#0.064930761
Graham, Gwen#FL#2#DEM#2014#126096#0.504828249
Southerland, Steve#FL#2#REP#2014#123262#0.493482264
Lee, Luther#FL#2#WRI#2014#422#0.001689487
Yoho, Ted#FL#3#REP#2014#148691#0.64984769
Wheeler, Marihelen#FL#3#DEM#2014#73910#0.323020511
Lawson, Howard Term Limits#FL#3#NON#2014#6208#0.0271318
Crenshaw, Ander#FL#4#REP#2014#177887#0.782770745
Moser-Bartlett, Paula#FL#4#NON#2014#35663#0.156930822
Koniz, Gary L.#FL#4#NON#2014#13690#0.060241229
Pueschel, Deborah Katz#FL#4#WRI#2014#13#5.72E-05
Brown, Corrine#FL#5#DEM#2014#112340#0.654749762
Smith, Glo#FL#5#REP#2014#59237#0.345250238
DeSantis, Ron#FL#6#REP#2014#166254#0.625445325
Cox, David#FL#6#DEM#2014#99563#0.374554675
Mica, John#FL#7#REP#2014#144474#0.635989858
Neuman, Wes#FL#7#DEM#2014#73011#0.321402159
Krulick, Al#FL#7#NON#2014#9679#0.042607984
Posey, Bill#FL#8#REP#2014#180728#0.658358621
Rothblatt, Gabriel#FL#8#DEM#2014#93724#0.341419168
Duncan, Christopher L., Jr#FL#8#WRI#2014#61#0.000222212
Grayson, Alan#FL#9#DEM#2014#93850#0.539746259
Platt, Carol#FL#9#REP#2014#74963#0.431124122
Milakovich, Marko#FL#9#NON#2014#5060#0.029100864
Ray, Leon Leo#FL#9#WRI#2014#5#2.88E-05
Webster, Daniel#FL#10#REP#2014#143128#0.615408429
McKenna, Michael#FL#10#DEM#2014#89426#0.384505577
Falstad, David B.#FL#10#WRI#2014#20#8.60E-05
"""Nugent, Richard B. """"Rich"""""""#FL#11#REP#2014#181508#0.66658832
Koller, Dave#FL#11#DEM#2014#90786#0.33341168
Bilirakis, Gus Michael#FL#12#REP#2014#1#1
Jolly, David W.#FL#13#REP#2014#168172#0.752191648
Overby, Lucas#FL#13#OTHER#2014#55318#0.247423695
Levinson, Michael Stephen#FL#13#WRI#2014#86#0.000384657
Castor, Kathy#FL#14#DEM#2014#1#1
Ross, Dennis A.#FL#15#REP#2014#128750#0.602812971
Cohn, Alan M.#FL#15#DEM#2014#84832#0.397187029
Buchanan, Vern#FL#16#REP#2014#169126#0.615386295
Lawrence, Henry#FL#16#DEM#2014#105483#0.383813207
Newman, Joe#FL#16#WRI#2014#220#0.000800498
Rooney, Tom#FL#17#REP#2014#141493#0.632353993
Bronson, Will#FL#17#DEM#2014#82263#0.367646007
Murphy, Patrick#FL#18#DEM#2014#151478#0.597843504
Domino, Carl J.#FL#18#REP#2014#101896#0.402156496
Clawson, Curt#FL#19#REP#2014#159354#0.645521164
Freeman, April#FL#19#DEM#2014#80824#0.327406921
Netherwood, Ray#FL#19#OTHER#2014#6671#0.027023305
Rossano, Timothy J.#FL#19#WRI#2014#12#4.86E-05
Hastings, Alcee L.#FL#20#DEM#2014#128498#0.816036478
Bonner, Jay#FL#20#REP#2014#28968#0.183963522
Deutch, Ted#FL#21#DEM#2014#153395#0.996265506
Trout, W. Michael#FL#21#WRI#2014#575#0.003734494
Frankel, Lois#FL#22#DEM#2014#125404#0.580316156
Spain, Paul#FL#22#REP#2014#90685#0.419651451
Schamis, Raymond#FL#22#WRI#2014#7#3.24E-05
Schultz, Debbie Wasserman#FL#23#DEM#2014#103269#0.626677913
"""Kaufman, Joseph """"Joe"""""""#FL#23#REP#2014#61519#0.373322087
Wilson, Frederica S.#FL#24#DEM#2014#129192#0.861751091
Neree, Dufirstson Julio#FL#24#REP#2014#15239#0.101648901
Fernandez, Luis E.#FL#24#NON#2014#5487#0.036600008
Diaz-Balart, Mario#FL#25#REP#2014#1#1
Curbelo, Carlos#FL#26#REP#2014#83031#0.514643262
Garcia, Joe#FL#26#DEM#2014#78306#0.485356738
Ros-Lehtinen, Ileana#FL#27#REP#2014#1#1
"""Carter, E. L. """"Buddy"""""""#GA#1#REP#2014#95337#0.609135402
Reese, Brian Corwin#GA#1#DEM#2014#61175#0.390864598
Bishop, Sanford D.#GA#2#DEM#2014#96363#0.591546961
"""Duke, Gregory P. """"Greg"""""""#GA#2#REP#2014#66537#0.408453039
Westmoreland, Lynn Acton#GA#3#REP#2014#156277#1
"""Johnson, Henry C. """"Hank,"""" Jr."""#GA#4#DEM#2014#161211#0.999324324
Davis, Raymond L.#GA#4#WRI#2014#109#0.000675676
Lewis, John R.#GA#5#DEM#2014#170326#1
"""Price, Thomas E. """"Tom"""""""#GA#6#REP#2014#139018#0.660405503
Montigel, Robert G.#GA#6#DEM#2014#71486#0.339594497
"""Woodall, William Robert """"Rob"""""""#GA#7#REP#2014#113557#0.653870293
Wight, Thomas Dee#GA#7#DEM#2014#60112#0.346129707
Scott, James Austin#GA#8#REP#2014#129938#0.999085017
Cain, Ronald L.#GA#8#WRI#2014#119#0.000914983
"""Collins, Douglas Allen """"Doug"""""""#GA#9#REP#2014#146059#0.806746314
Vogel, David Donald#GA#9#DEM#2014#34988#0.193253686
Hice, Jody B.#GA#10#REP#2014#130703#0.665222923
"""Dious, Ivory Kenneth """"Ken"""""""#GA#10#DEM#2014#65777#0.334777077
Loudermilk, Barry D.#GA#11#REP#2014#161532#1
"""Allen, Richard """"Rick"""""""#GA#12#REP#2014#91336#0.547531982
Barrow, John Jenkins#GA#12#DEM#2014#75478#0.452468018
Scott, David Albert#GA#13#DEM#2014#159445#1
"""Graves, John Thomas """"Tom"""""""#GA#14#REP#2014#118782#1
Takai, Mark#HI#1#DEM#2014#93390#0.519283379
Djou, Charles#HI#1#REP#2014#86454#0.480716621
Gabbard, Tulsi#HI#2#DEM#2014#142010#0.787487592
Crowley, Kawika#HI#2#REP#2014#33630#0.18648833
Kent, Joe#HI#2#LIB#2014#4693#0.026024078
Labrador, Raul R.#ID#1#REP#2014#143580#0.650083309
McCandless, Reed C.#ID#1#OTHER#2014#7#3.17E-05
Ringo, Shirley G.#ID#1#DEM#2014#77277#0.349884997
Simpson, Mike#ID#2#REP#2014#131492#0.613608471
Stallings, Richard#ID#2#DEM#2014#82801#0.386391529
Rush, Bobby L.#IL#1#DEM#2014#162268#0.730880969
Tillman, Jimmy Lee#IL#1#REP#2014#59749#0.269119031
Kelly, Robin#IL#2#DEM#2014#160337#0.784942183
Wallace, Eric M.#IL#2#REP#2014#43799#0.214421392
Wallace, Marcus#IL#2#WRI#2014#130#0.000636425
Lipinski, Daniel William#IL#3#DEM#2014#116764#0.645622184
Brannigan, Sharon M.#IL#3#REP#2014#64091#0.354377816
Gutierrez, Luis V.#IL#4#DEM#2014#79666#0.781468257
Concepcion, Hector#IL#4#REP#2014#22278#0.218531743
Quigley, Mike#IL#5#DEM#2014#116364#0.632347747
Kolber, Vince#IL#5#REP#2014#56350#0.30621838
Wade, Nancy#IL#5#GRE#2014#11305#0.061433874
Roskam, Peter J.#IL#6#REP#2014#160287#0.671353538
Mason, Michael#IL#6#DEM#2014#78465#0.328646462
Davis, Danny K.#IL#7#DEM#2014#155110#0.85095294
Bumpers, Robert L.#IL#7#REP#2014#27168#0.14904706
Duckworth, Tammy#IL#8#DEM#2014#84178#0.557263531
Kaifesh, Larry#IL#8#REP#2014#66878#0.442736469
Schakowsky, Janice D.#IL#9#DEM#2014#141000#0.660576247
Atanus, Susanne#IL#9#REP#2014#72384#0.339114547
Collins, Phil#IL#9#WRI#2014#66#0.000309206
Dold, Robert#IL#10#REP#2014#95992#0.512975076
Schneider, Brad#IL#10#DEM#2014#91136#0.487024924
Foster, Bill#IL#11#DEM#2014#93436#0.534616529
Senger, Darlene#IL#11#REP#2014#81335#0.465377749
"""Vlakancic, Constant """"Connor"""""""#IL#11#WRI#2014#1#5.72E-06
Bost, Mike#IL#12#REP#2014#110038#0.524645033
"""Enyart, William L. """"Bill"""""""#IL#12#DEM#2014#87860#0.418903584
Bradshaw, Paula#IL#12#GRE#2014#11840#0.056451382
Davis, Rodney#IL#13#REP#2014#123337#0.586559314
Callis, Ann E.#IL#13#DEM#2014#86935#0.413440686
"""Hultgren, Randall M. """"Randy"""""""#IL#14#REP#2014#145369#0.654137605
Anderson, Dennis#IL#14#DEM#2014#76861#0.345862395
Shimkus, John M.#IL#15#REP#2014#166274#0.749231726
Thorsland, Eric#IL#15#DEM#2014#55652#0.250768274
Kinzinger, Adam#IL#16#REP#2014#153388#0.706212764
Olsen, Randall Wayne#IL#16#DEM#2014#63810#0.293787236
Bustos, Cheri#IL#17#DEM#2014#110560#0.554571857
Schilling, Bobby#IL#17#REP#2014#88785#0.445347886
Fawell, Bill#IL#17#WRI#2014#16#8.03E-05
Schock, Aaron#IL#18#REP#2014#184363#0.747195428
Miller, Darrel#IL#18#DEM#2014#62377#0.252804572
Visclosky, Peter J.#IN#1#DEM#2014#86579#0.608455792
Leyva, Mark#IN#1#REP#2014#51000#0.358415382
Dunn, Donna T.#IN#1#LIB#2014#4714#0.033128826
Walorski, Jackie#IN#2#REP#2014#85583#0.589414601
Bock, Joe#IN#2#DEM#2014#55590#0.38285124
Petermann, Jeff#IN#2#LIB#2014#4027#0.02773416
Stutzman, Marlin A.#IN#3#REP#2014#102889#0.691490863
Kuhnle, Justin#IN#3#DEM#2014#39771#0.2672908
Wise, Scott#IN#3#LIB#2014#6133#0.041218337
Rokita, Todd#IN#4#REP#2014#94998#0.668745688
Dale, John#IN#4#DEM#2014#47056#0.331254312
Brooks, Susan#IN#5#REP#2014#105277#0.65211224
Denney, Shawn A.#IN#5#DEM#2014#49756#0.308201189
Krom, John#IN#5#LIB#2014#6407#0.039686571
Messer, Luke#IN#6#REP#2014#102187#0.658969117
Heitzman, Susan Hall#IN#6#DEM#2014#45509#0.293472022
Miller, Eric#IN#6#LIB#2014#7375#0.04755886
Carson, André#IN#7#DEM#2014#61443#0.547322757
Ping, Catherine (Cat)#IN#7#REP#2014#46887#0.41766063
Mayo, Chris#IN#7#LIB#2014#3931#0.035016613
Bucshon, Larry D.#IN#8#REP#2014#103344#0.603239646
Spangler, Tom#IN#8#DEM#2014#61384#0.358310714
Horning, Andrew#IN#8#LIB#2014#6587#0.03844964
Young, Todd#IN#9#REP#2014#101594#0.625628899
Bailey, Bill#IN#9#DEM#2014#55016#0.338795593
Frey, R. Mike#IN#9#LIB#2014#5777#0.035575508
Blum, Rod#IA#1#REP#2014#147762#0.511451782
Murphy, Pat#IA#1#DEM#2014#141145#0.488548218
Loebsack, Dave#IA#2#DEM#2014#143431#0.525607763
Miller-Meeks, Mariannette#IA#2#REP#2014#129455#0.474392237
Young, David#IA#3#REP#2014#148814#0.528952822
Appel, Staci#IA#3#DEM#2014#119109#0.423367705
Wright, Edward B.#IA#3#LIB#2014#9054#0.032182045
