Bonner, Jo#AL#1#REP#2006#112944#
Ross, Dennis#FL#15#REP#2012#1#[1.0]
Buchanan, Vern#FL#16#REP#2012#187147#
Fitzgerald, Keith#FL#16#DEM#2012#161929#[0.5361210739208654, 0.4638789260791346]
Rooney, Tom#FL#17#REP#2012#165488#
Bronson, William#FL#17#DEM#2012#116766#
Baumann, Tom#FL#17#WRI#2012#12#[0.5862838599051958, 0.4136736270043151, 4.251309048911311e-05]
Murphy, Patrick#FL#18#DEM#2012#166257#
West, Allen B.#FL#18#REP#2012#164353#
Holloman, Marilyn Davis#FL#18#WRI#2012#55#[0.5027958810276262, 0.49703778748884825, 0.00016633148352562262]
Radel, Trey#FL#19#REP#2012#189833#
Roach, Jim#FL#19#DEM#2012#109746#
Smith, Brandon M.#FL#19#NON#2012#6637#[0.6199316822112496, 0.3583940747707501, 0.021674243018000364]
Hastings, Alcee L.#FL#20#DEM#2012#214727#
Terry, Randall#FL#20#NON#2012#29553#
Dutrow, Anthony M.#FL#20#WRI#2012#5#[0.8790019853859222, 0.12097754671797285, 2.0467896104959373e-05]
Deutch, Ted#FL#21#DEM#2012#221263#
"""""""""""""""Trout, W. Michael """"""""""""""""Mike"""""""""""""""""""""""""""""""#FL#21#NON#2012#37776#
Henao, Cesar#FL#21#NON#2012#25361#[0.7779992967651196, 0.1328270042194093, 0.08917369901547116]
Frankel, Lois#FL#22#DEM#2012#171021#
Hasner, Adam#FL#22#REP#2012#142050#[0.546269057178723, 0.45373094282127696]
Wasserman Schultz, Debbie#FL#23#DEM#2012#174205#
Harrington, Karen#FL#23#REP#2012#98096#
Katz, IIya#FL#23#NON#2012#3129#[0.6324837526776314, 0.3561558290672766, 0.011360418255092038]
Wilson, Frederica S.#FL#24#DEM#2012#1#[1.0]
Diaz-Balart, Mario#FL#25#REP#2012#151466#
Blumenthal, Stanley#FL#25#NON#2012#31664#
VoteForEddie.Com#FL#25#NON#2012#17099#[0.7564638488930175, 0.15813893092409192, 0.08539722018289059]
Garcia, Joe#FL#26#DEM#2012#135694#
Rivera, David#FL#26#REP#2012#108820#
Fernandez, Angel#FL#26#NON#2012#5726#
Peixoto, Jose#FL#26#NON#2012#2717#[0.536431093031622, 0.4301916926592267, 0.022636258336397094, 0.010740955972754263]
Ros-Lehtinen, Ileana#FL#27#REP#2012#138488#
Yevancey, Manny#FL#27#DEM#2012#85020#
Cruz-Wiggins, Thomas Joe#FL#27#NON#2012#6663#[0.6016744072884942, 0.3693775497347624, 0.028948042976743377]
Kingston, Jack#GA#1#REP#2012#157181#
Messinger, Lesli Rae#GA#1#DEM#2012#92399#[0.6297820338168122, 0.37021796618318775]
Bishop, Sanford#GA#2#DEM#2012#162751#
House, John#GA#2#REP#2012#92410#[0.6378365032273741, 0.36216349677262594]
Westmoreland, Lynn#GA#3#REP#2012#232380#
Ferguson, David#GA#3#WRI#2012#105#[0.999548357958578, 0.00045164204142202725]
"""""""""""""""Johnson, Henry C. """"""""""""""""Hank"""""""""""""""""""""""""""""""#GA#4#DEM#2012#208861#
Vaughn, J. Chris#GA#4#REP#2012#75041#
McKinney, Cynthia#GA#4#WRI#2012#58#
Fruit, Rachele#GA#4#WRI#2012#2#[0.7355244715842261, 0.2642642325381565, 0.00020425268169684677, 7.0431959205809225e-06]
Lewis, John#GA#5#DEM#2012#234330#
Stopeck, Howard#GA#5#REP#2012#43335#
Benson, John#GA#5#WRI#2012#12#
Davis, Raymond#GA#5#WRI#2012#12#[0.8438576969199356, 0.1560558754577963, 4.321381113403844e-05, 4.321381113403844e-05]
Price, Tom#GA#6#REP#2012#189669#
Kazanow, Jeff#GA#6#DEM#2012#104365#[0.6450580545107029, 0.35494194548929714]
Woodall, Rob#GA#7#REP#2012#156689#
Reilly, Steve#GA#7#DEM#2012#95377#[0.6216189410709894, 0.37838105892901064]
Scott, Austin#GA#8#REP#2012#197789#[1.0]
Collins, Doug#GA#9#REP#2012#192101#
Cooley, Jody#GA#9#DEM#2012#60052#[0.7618430080149751, 0.23815699198502496]
Broun, Paul C.#GA#10#REP#2012#211065#
Brown, Brian Russell#GA#10#WRI#2012#401#[0.9981037140722385, 0.0018962859277614368]
Gingrey, Phil#GA#11#REP#2012#196968#
Thompson, Patrick#GA#11#DEM#2012#90353#
Levene, Allan#GA#11#WRI#2012#30#[0.6854613347439195, 0.31443426332255675, 0.00010440193352380887]
Barrow, John#GA#12#DEM#2012#139148#
Anderson, Lee#GA#12#REP#2012#119973#[0.537000088761621, 0.46299991123837897]
Scott, David#GA#13#DEM#2012#201988#
Malik, S.#GA#13#REP#2012#79550#[0.7174448919861617, 0.28255510801383826]
Graves, Tom#GA#14#REP#2012#159947#
"""""""""""""""Grant, Daniel """"""""""""""""Danny"""""""""""""""""""""""""""""""#GA#14#DEM#2012#59245#[0.7297118507974744, 0.27028814920252564]
Hanabusa, Colleen W.#HI#1#DEM#2012#116505#
Djou, Charles K.#HI#1#REP#2012#96824#[0.5461282807307023, 0.45387171926929765]
Gabbard, Tulsi#HI#2#DEM#2012#168503#
Crowley, Kawika#HI#2#REP#2012#40707#[0.805425170880933, 0.19457482911906696]
Labrador, Raul R.#ID#1#REP#2012#199402#
Farris, Jimmy#ID#1#DEM#2012#97450#
Oates, Rob#ID#1#LIB#2012#12265#
Pro-Life#ID#1#IND#2012#7607#[0.6295765398264735, 0.3076811356259709, 0.03872456776246827, 0.024017756785087333]
Simpson, Mike#ID#2#REP#2012#207412#
LeFavour, Nicole#ID#2#DEM#2012#110847#
Chappell, Jack Wayne#ID#2#OTHER#2012#235#[0.6512273386625808, 0.34803481384264695, 0.000737847494772272]
Rush, Bobby L.#IL#1#DEM#2012#236854#
Peloquin, Donald E.#IL#1#REP#2012#83989#
Hawkins, John#IL#1#WRI#2012#1#[0.7382216902918552, 0.2617751929286507, 3.1167794940843525e-06]
Jackson, Jesse L., Jr.#IL#2#DEM#2012#188303#
Woodworth, Brian#IL#2#REP#2012#69115#
Lewis, Marcus#IL#2#IND#2012#40006#
Williams, Anthony W.#IL#2#WRI#2012#288#[0.6325005374321492, 0.23215389369592088, 0.13437819100338583, 0.0009673778685440963]
Lipinski, Daniel William#IL#3#DEM#2012#168738#
Grabowski, Richard L.#IL#3#REP#2012#77653#
Anderson, Laura#IL#3#WRI#2012#7#[0.684818870283038, 0.3151527203954578, 2.8409321504232988e-05]
Gutierrez, Luis V.#IL#4#DEM#2012#133226#
Concepcion, Hector#IL#4#OTHER#2012#27279#
Viramontes, Ymelda#IL#4#WRI#2012#4#[0.8300219925362441, 0.16995308674279946, 2.492072095645727e-05]
Quigley, Mike#IL#5#DEM#2012#177729#
Schmitt, Dan#IL#5#REP#2012#77289#
Wade, Nancy#IL#5#GRE#2012#15359#[0.6573377173354242, 0.2858564153015974, 0.05680586736297836]
Roskam, Peter J.#IL#6#REP#2012#193138#
Coolidge, Leslie#IL#6#DEM#2012#132991#[0.5922135106046994, 0.40778648939530066]
Davis, Danny K.#IL#7#DEM#2012#242439#
Zak, Rita#IL#7#REP#2012#31466#
Monaghan, John H.#IL#7#IND#2012#12523#
Collins, Phil#IL#7#WRI#2012#5#
Richter, Dennis#IL#7#WRI#2012#2#[0.8464014523364812, 0.10985389355351127, 0.0437202157557561, 1.7455967322429173e-05, 6.982386928971669e-06]
Duckworth, Tammy#IL#8#DEM#2012#123206#
Walsh, Joe#IL#8#REP#2012#101860#[0.547421645206295, 0.45257835479370495]
Schakowsky, Janice D.#IL#9#DEM#2012#194869#
Wolfe, Timothy C.#IL#9#REP#2012#98924#
Shioura, Hilaire Fuji#IL#9#WRI#2012#8#
Atanus, Susanne#IL#9#WRI#2012#6#[0.6632551300683782, 0.33669721960334503, 2.722875901527193e-05, 2.0421569261453947e-05]
Schneider, Brad#IL#10#DEM#2012#133890#
Dold, Robert#IL#10#REP#2012#130564#[0.5062884282332655, 0.49371157176673447]
Foster, Bill#IL#11#DEM#2012#148928#
Biggert, Judy#IL#11#REP#2012#105348#
Michel, Chris#IL#11#WRI#2012#19#[0.5856505239977192, 0.4142747596295641, 7.471637271672663e-05]
Enyart, William L.#IL#12#DEM#2012#157000#
Plummer, Jason#IL#12#REP#2012#129902#
Bradshaw, Paula#IL#12#GRE#2012#17045#
Horton, Shon-Tiyon#IL#12#WRI#2012#2#[0.5165340238000454, 0.42738090929728345, 0.05607848685141257, 6.5800512585993045e-06]
Davis, Rodney#IL#13#REP#2012#137034#
Gill, David M.#IL#13#DEM#2012#136032#
Hartman, John#IL#13#IND#2012#21319#[0.4654924673471814, 0.46208876131596377, 0.0724187713368548]
Hultgren, Randy M.#IL#14#REP#2012#177603#
Anderson, Dennis#IL#14#DEM#2012#124351#[0.588178994151427, 0.41182100584857295]
Shimkus, John M.#IL#15#REP#2012#205775#
Michael, Angela#IL#15#DEM#2012#94162#[0.6860607394219452, 0.3139392605780547]
Kinzinger, Adam#IL#16#REP#2012#181789#
Rohl, Wanda#IL#16#DEM#2012#112301#[0.6181407052262913, 0.3818592947737087]
Bustos, Cheri#IL#17#DEM#2012#153519#
Schilling, Bobby#IL#17#REP#2012#134623#
Reyes, Eric#IL#17#WRI#2012#10#
Faber, Joe#IL#17#WRI#2012#9#[0.5327542589038766, 0.4671798057336003, 3.470282238054421e-05, 3.1232540142489785e-05]
Schock, Aaron#IL#18#REP#2012#244467#
Waterworth, Steve#IL#18#DEM#2012#85164#[0.7416383774584308, 0.2583616225415692]
Visclosky, Peter J.#IN#1#DEM#2012#187743#
Phelps, Joel#IN#1#REP#2012#91291#[0.6728319846326971, 0.3271680153673029]
Walorski, Jackie#IN#2#REP#2012#134033#
Mullen, Brendan#IN#2#DEM#2012#130113#
Ruiz, Joseph Wayne#IN#2#LIB#2012#9326#
Lunce, Kenneth R., Jr.#IN#2#WRI#2012#3#[0.4901106134015906, 0.4757765792119938, 0.03410183746229089, 1.0969924124691472e-05]
Stutzman, Marlin A.#IN#3#REP#2012#187872#
Boyd, Kevin R.#IN#3#DEM#2012#92363#[0.6704087640730102, 0.32959123592698986]
Rokita, Todd#IN#4#REP#2012#168688#
Nelson, Tara E.#IN#4#DEM#2012#93015#
Gelhausen, Benjamin J.#IN#4#LIB#2012#10565#[0.6195660158373367, 0.34163030543435147, 0.03880367872831181]
Brooks, Susan#IN#5#REP#2012#194570#
Reske, Scott#IN#5#DEM#2012#125347#
Reid, Chard#IN#5#LIB#2012#13442#[0.5836650577905501, 0.3760120470723754, 0.040322895137074447]
Messer, Luke#IN#6#REP#2012#162613#
Bookout, Bradley T.#IN#6#DEM#2012#96678#
Bell, Rex#IN#6#LIB#2012#15962#[0.5907764856332174, 0.35123322906562326, 0.057990285301159294]
Carson, Andre D.#IN#7#DEM#2012#162122#
May, Carlos A.#IN#7#REP#2012#95828#[0.6285016476061253, 0.3714983523938748]
Bucshon, Larry D.#IN#8#REP#2012#151533#
Crooks, Dave#IN#8#DEM#2012#122325#
Gadau, Bart#IN#8#LIB#2012#10134#[0.5335819318854053, 0.4307339643370236, 0.0356841037775712]
Young, Todd#IN#9#REP#2012#165332#
Yoder, Shelli#IN#9#DEM#2012#132848#[0.5544704540881347, 0.44552954591186533]
Braley, Bruce#IA#1#DEM#2012#222422#
Lange, Ben#IA#1#REP#2012#162465#
Hughes, Gregory#IA#1#OTHER#2012#4772#
Krail, George Todd, II#IA#1#OTHER#2012#931#[0.5694513428403185, 0.41594766891113444, 0.01221741468035536, 0.0023835735681917098]
Loebsack, Dave#IA#2#DEM#2012#211863#
Archer, John#IA#2#REP#2012#161977#
Aversa, Alan#IA#2#OTHER#2012#7112#[0.5561409311409311, 0.4251900501900502, 0.01866901866901867]
Latham, Tom#IA#3#REP#2012#202000#
Boswell, Leonard#IA#3#DEM#2012#168632#
Batcher, Scott G.#IA#3#OTHER#2012#9352#
Rosenfeld, David#IA#3#OTHER#2012#6286#[0.5229502679472907, 0.43656509695290857, 0.024211044088331996, 0.016273591011468663]
King, Steve#IA#4#REP#2012#200063#
Vilsack, Christie#IA#4#DEM#2012#169470#
Monroe, Martin James#IA#4#OTHER#2012#8124#[0.5297478929292982, 0.44874052380864116, 0.021511583262060548]
Huelskamp, Tim#KS#1#REP#2012#211337#[1.0]
Jenkins, Lynn#KS#2#REP#2012#167463#
Schlingensiepen, Tobias#KS#2#DEM#2012#113735#
Hawver, Dennis#KS#2#LIB#2012#12520#[0.5701489183502543, 0.3872251615495135, 0.042625920100232195]
Yoder, Kevin#KS#3#REP#2012#201087#
Balam, Joel#KS#3#LIB#2012#92675#[0.6845235258474548, 0.31547647415254526]
Pompeo, Mike#KS#4#REP#2012#161094#
Tillman, Robert Leon#KS#4#DEM#2012#81770#
Jefferson, Thomas#KS#4#LIB#2012#16058#[0.6221719282254887, 0.31580939433497346, 0.062018677439537775]
Whitfield, Edward#KY#1#REP#2012#199956#
Hatchett, Charles Kendall#KY#1#DEM#2012#87199#[0.6963347321133186, 0.3036652678866814]
Guthrie, S. Brett#KY#2#REP#2012#181508#
Williams, David Lynn#KY#2#DEM#2012#89541#
Beacham, Andrew R.#KY#2#IND#2012#6304#
Astor, Craig R.#KY#2#LIB#2012#4914#[0.6430365575855485, 0.317220929120301, 0.02233346441489795, 0.017409048879252622]
Yarmuth, John A.#KY#3#DEM#2012#206385#
Wicker, Brooks#KY#3#REP#2012#111452#
Devore, Robert L., Jr.#KY#3#IND#2012#4819#[0.6396440791431122, 0.34542050976891797, 0.014935411087969851]
Massie, Thomas#KY#4#REP#2012#186036#
"""""""""""""""Adkins, William R. """"""""""""""""Bill"""""""""""""""""""""""""""""""#KY#4#DEM#2012#104734#
Lewis, David#KY#4#IND#2012#8674#[0.6212714230373626, 0.3497615580876558, 0.028967018874981633]
"""""""""""""""Rogers, Harold """"""""""""""""Hal"""""""""""""""""""""""""""""""#KY#5#REP#2012#195408#
Stepp, Kenneth S.#KY#5#DEM#2012#55447#[0.7789679296804927, 0.22103207031950728]
"""""""""""""""Barr, Garland """"""""""""""""Andy"""""""""""""""""""""""""""""""#KY#6#REP#2012#153222#
Chandler, Ben#KY#6#DEM#2012#141438#
Vance, Randolph#KY#6#IND#2012#8340#[0.5056831683168317, 0.4667920792079208, 0.027524752475247525]
"""""""""""""""Scalise,""""""""""""""""Steve"""""""""""""""""""""""""""""""#LA#1#REP#2012#193496#
"""""""""""""""Mendoza, M. V. """"""""""""""""Vinny"""""""""""""""""""""""""""""""#LA#1#DEM#2012#61703#
King, Gary#LA#1#REP#2012#24844#
"""""""""""""""Turknett, David """"""""""""""""Turk"""""""""""""""""""""""""""""""#LA#1#NON#2012#6079#
Wells, Arden#LA#1#NON#2012#4288#[0.6662855962260252, 0.21246857890568507, 0.08554801831892841, 0.02093247477703936, 0.01476533177232189]
Richmond, Cedric#LA#2#DEM#2012#158501#
Landrieu, Gary#LA#2#DEM#2012#71916#
Bailey, Dwayne#LA#2#REP#2012#38801#
Larose, Josue#LA#2#REP#2012#11345#
Trotter, Caleb#LA#2#LIB#2012#6791#[0.5515879368305296, 0.2502697021791936, 0.13502857103085392, 0.039480919005825565, 0.023632870953597306]
Boustany, Charles W., Jr.#LA#3#REP#2012#139123#
"""""""""""""""Landry,""""""""""""""""Jeff"""""""""""""""""""""""""""""""#LA#3#REP#2012#93527#
"""""""""""""""Richard,""""""""""""""""Ron"""""""""""""""""""""""""""""""#LA#3#DEM#2012#67070#
Barrilleaux, Bryan#LA#3#REP#2012#7908#
"""""""""""""""Stark,""""""""""""""""Jim"""""""""""""""""""""""""""""""#LA#3#LIB#2012#3765#[0.4467762602242183, 0.30035036111922875, 0.21538698686226088, 0.02539556123612284, 0.01209083055816926]
Fleming, John#LA#4#REP#2012#187894#
Lord, Randall#LA#4#LIB#2012#61637#[0.7529886066260304, 0.24701139337396957]
Alexander, Rodney#LA#5#REP#2012#202536#
"""""""""""""""Ceasar,""""""""""""""""Ron"""""""""""""""""""""""""""""""#LA#5#NON#2012#37486#
Grant, Clay Steven#LA#5#LIB#2012#20194#[0.7783379961262951, 0.14405724475051496, 0.07760475912318997]
"""""""""""""""Cassidy, William """"""""""""""""Bill"""""""""""""""""""""""""""""""#LA#6#REP#2012#243553#
Craig, Rufus Holt, Jr.#LA#6#LIB#2012#32185#
"""""""""""""""Torregano, Richard """"""""""""""""RPT"""""""""""""""""""""""""""""""#LA#6#NON#2012#30975#[0.7940745909042003, 0.10493523261159456, 0.10099017648420511]
Pingree, Chellie#ME#1#DEM#2012#236363#
Courtney, Jonathan T.E.#ME#1#REP#2012#128440#[0.6479195620650049, 0.35208043793499505]
Michaud, Michael H.#ME#2#DEM#2012#191456#
Raye, Kevin L.#ME#2#REP#2012#137542#[0.581936668308014, 0.41806333169198595]
Harris, Andy#MD#1#REP#2012#214204#
Rosen, Wendy#MD#1#DEM#2012#92812#
LaFerla, John#MD#1#OTHER#2012#14858#
Boda, Muir Wayne#MD#1#LIB#2012#12857#
Calpino, Michael#MD#1#WRI#2012#71#
Rae, Douglas Dryden#MD#1#WRI#2012#26#[0.6397433906363864, 0.27719306629075224, 0.04437502239956037, 0.03839881969249884, 0.00021204917151492706, 7.765180928715639e-05]
Ruppersberger, C. A. Dutch#MD#2#DEM#2012#194088#
Jacobs, Nancy C.#MD#2#REP#2012#92071#
Dymowski, Leo Wayne#MD#2#LIB#2012#9344#
Bly, Ray#MD#2#WRI#2012#22#[0.656756619575332, 0.3115506302343287, 0.03161830640385754, 7.444378648168514e-05]
Sarbanes, John#MD#3#DEM#2012#213747#
Knowles, Eric Delano#MD#3#REP#2012#94549#
Drgos, Paul W., Jr.#MD#3#LIB#2012#11028#[0.6693734263631922, 0.2960911174856885, 0.03453545615111924]
Edwards, Donna F.#MD#4#DEM#2012#240385#
Loudon, Faith M.#MD#4#REP#2012#64560#
Soffen, Scott#MD#4#LIB#2012#6204#[0.7725719831977605, 0.20748901651620286, 0.019939000286036592]
Hoyer, Steny H.#MD#5#DEM#2012#238618#
O'Donnell, Tony#MD#5#REP#2012#95271#
Auerbach, Bob#MD#5#GRE#2012#5040#
Vohra, Arvin#MD#5#LIB#2012#4503#[0.6948042116052086, 0.27740862820005124, 0.01467539425563139, 0.01311176593910876]
Delaney, John#MD#6#DEM#2012#181921#
Bartlett, Roscoe G.#MD#6#REP#2012#117313#
Mueller, Nickolaus#MD#6#LIB#2012#9916#[0.5884554423419053, 0.37946951318130356, 0.0320750444767912]
Cummings, Elijah#MD#7#DEM#2012#247770#
Mirabile, Frank C.#MD#7#REP#2012#67405#
Owens-Bey, Ronald M.#MD#7#LIB#2012#8211#
Smith, Charles U.#MD#7#WRI#2012#28#
Busch, Ty Glen#MD#7#WRI#2012#10#[0.7660841495992876, 0.20841063124567133, 0.025387726328287327, 8.65736618185416e-05, 3.091916493519343e-05]
Van Hollen, Chris#MD#8#DEM#2012#217531#
Timmerman, Ken#MD#8#REP#2012#113033#
Grannis, Mark#MD#8#LIB#2012#7235#
Gluck, George#MD#8#GRE#2012#5064#[0.6344545780676247, 0.32967395140333017, 0.021101722845568056, 0.014769747683477073]
Neal, Richard E.#MA#1#DEM#2012#261936#
All Others#MA#1#WRI#2012#4197#[0.984229689666445, 0.015770310333555027]
McGovern, James P.#MA#2#DEM#2012#259257#
All Others#MA#2#WRI#2012#4078#[0.9845140220631515, 0.015485977936848501]
Tsongas, Nicola S.#MA#3#DEM#2012#212119#
Golnik, Jonathan A.#MA#3#REP#2012#109372#
All Others#MA#3#WRI#2012#262#[0.6592603643167274, 0.33992534646141603, 0.0008142892218565173]
Kennedy, Joseph P., III#MA#4#DEM#2012#221303#
Bielat, Sean#MA#4#REP#2012#129936#
Rosa, David A.#MA#4#IND#2012#10741#
All Others#MA#4#WRI#2012#265#[0.6109207856561167, 0.3586964623390247, 0.029651202915154107, 0.0007315490897044818]
Markey, Edward J.#MA#5#DEM#2012#257490#
Tierney, Tom#MA#5#REP#2012#82944#
All Others#MA#5#WRI#2012#675#[0.7548613493047677, 0.24315981108677873, 0.0019788396084536026]
Tierney, John F.#MA#6#DEM#2012#180942#
Tisei, Richard R.#MA#6#REP#2012#176612#
Fishman, Daniel#MA#6#LIB#2012#16739#
All Others#MA#6#WRI#2012#514#[0.48276046071711576, 0.4712078483059281, 0.044660318510593454, 0.001371372466362688]
Capuano, Michael E.#MA#7#DEM#2012#210794#
Romero, Karla#MA#7#IND#2012#41199#
All Others#MA#7#WRI#2012#843#[0.8337182996092328, 0.1629475232957332, 0.003334177095033935]
Lynch, Stephen F.#MA#8#DEM#2012#263999#
Selvaggi, Joe#MA#8#REP#2012#82242#
All Others#MA#8#WRI#2012#570#[0.7612186464673842, 0.23713780704764267, 0.0016435464849730832]
Keating, William Richard#MA#9#DEM#2012#212754#
Sheldon, Christopher#MA#9#REP#2012#116531#
Botelho, Daniel S.#MA#9#IND#2012#32655#
All Others#MA#9#WRI#2012#465#[0.5870614367903313, 0.32154909562506034, 0.09010637270457085, 0.001283094880037527]
Benishek, Dan#MI#1#REP#2012#167060#
McDowell, Gary#MI#1#DEM#2012#165179#
Salvette, Emily#MI#1#LIB#2012#10630#
Boal, Ellis#MI#1#GRE#2012#4168#[0.4813895924642041, 0.4759694211280065, 0.03063073966176517, 0.0120102467460242]
Huizenga, Bill#MI#2#REP#2012#194653#
German, Willie, Jr.#MI#2#OTHER#2012#108973#
Buzuma, Mary#MI#2#LIB#2012#8750#
Graeser, Ronald E.#MI#2#OTHER#2012#3176#
Opalicky, William J.#MI#2#GRE#2012#2715#[0.611602836612027, 0.34239490742049916, 0.027492639827566164, 0.009979042753411443, 0.008530573386496244]
Amash, Justin#MI#3#REP#2012#171675#
Butler, Steven#MI#3#OTHER#2012#2#
Pestka, Steve#MI#3#DEM#2012#144108#
Gelineau, Bill#MI#3#LIB#2012#10498#[0.5261536764097424, 6.129648188842201e-06, 0.441665670598836, 0.03217452334323272]
Camp, Dave#MI#4#REP#2012#197386#
Wirth, Debra Freidell#MI#4#DEM#2012#104996#
Gelineau, John#MI#4#LIB#2012#4285#
Zimmer, George M.#MI#4#OTHER#2012#3506#
Timmons, Pat#MI#4#GRE#2012#2776#[0.6307289686178899, 0.3355051462059313, 0.013692326864760712, 0.01120310338106209, 0.008870454930356065]
Kildee, Daniel T.#MI#5#DEM#2012#214531#
Slezak, Jim#MI#5#REP#2012#103931#
Davenport, David#MI#5#NON#2012#6694#
Creswell, Gregory#MI#5#LIB#2012#4990#[0.6498064492678997, 0.31480314769829104, 0.02027587794490922, 0.015114525088900063]
Upton, Fred#MI#6#REP#2012#174955#
O'Brien, Mike#MI#6#DEM#2012#136563#
Gelineau, Christie#MI#6#LIB#2012#6366#
Gatties, Jason#MI#6#OTHER#2012#2591#[0.545924019034246, 0.42612684296747017, 0.019864263983150013, 0.008084874015133785]
Walberg, Tim#MI#7#REP#2012#169668#
Haskell, Kurt Richard#MI#7#DEM#2012#136849#
Proctor, Ken#MI#7#LIB#2012#8088#
Wunsch, Richard E.#MI#7#GRE#2012#3464#[0.5334314252567839, 0.4302494112912607, 0.02542844477141752, 0.010890718680537871]
Rogers, Mike#MI#8#REP#2012#202217#
Enderle, Lance#MI#8#DEM#2012#128657#
Goebel, Daniel#MI#8#LIB#2012#8083#
Brooks, Preston#MI#8#NON#2012#6097#[0.5860445031792125, 0.3728604798089574, 0.023425318935586893, 0.017669698076243138]
Levin, Sander#MI#9#DEM#2012#208846#
Volaric, Don#MI#9#REP#2012#114760#
Fulner, Jim#MI#9#LIB#2012#6100#
Williams, Julia#MI#9#GRE#2012#4708#
Townsend, Les#MI#9#OTHER#2012#2902#[0.6191405091961247, 0.3402151098673054, 0.018083933166526345, 0.013957238909509184, 0.008603208860534336]
Miller, Candice S.#MI#10#REP#2012#226075#
Stadler, Chuck#MI#10#DEM#2012#97734#
Dashairya, Bhagwan#MI#10#LIB#2012#4803#[0.6879693985612212, 0.29741458011271654, 0.014616021326062347]
Bentivolio, Kerry#MI#11#REP#2012#181788#
Taj, Syed#MI#11#DEM#2012#158879#
Tatar, John J.#MI#11#LIB#2012#9637#
Duke, Steven Paul#MI#11#GRE#2012#4569#
Johnson, Daniel#MI#11#OTHER#2012#3251#
Van Gilder, James#MI#11#WRI#2012#14#
Sherman, Ralph#MI#11#WRI#2012#1#[0.5075906282197694, 0.44362384437327407, 0.026908546681595695, 0.012757616456180421, 0.009077481089744485, 3.909096747352285e-05, 2.792211962394489e-06]
Dingell, John D.#MI#12#DEM#2012#216884#
Kallgren, Cynthia#MI#12#REP#2012#92472#
Secula, Richard J.#MI#12#LIB#2012#9867#[0.6794121977426438, 0.28967837530503754, 0.0309094269523186]
Conyers, John, Jr.#MI#13#DEM#2012#235336#
Sawicki, Harry T.#MI#13#REP#2012#38769#
Sharer, Chris#MI#13#LIB#2012#6076#
Gray, Martin#MI#13#OTHER#2012#4089#[0.8278608365286524, 0.13638090547718718, 0.021374045801526718, 0.014384212192633763]
Peters, Gary#MI#14#DEM#2012#270450#
Hauler, John#MI#14#REP#2012#51395#
Schwartz, Leonard#MI#14#LIB#2012#3968#
Campbell, Douglas#MI#14#GRE#2012#2979#[0.8225565098907516, 0.1563146305262902, 0.01206842015620818, 0.009060439426750043]
Walz, Tim#MN#1#OTHER#2012#193211#
Quist, Allen#MN#1#REP#2012#142164#[0.5761043607901603, 0.42389563920983975]
Kline, John#MN#2#REP#2012#193587#
Obermueller, Mike#MN#2#OTHER#2012#164338#
Ondich, Josh D.#MN#2#WRI#2012#1#[0.540857607438409, 0.459139598687997, 2.7938735939831137e-06]
Paulsen, Erik#MN#3#REP#2012#222335#
Barnes, Brian#MN#3#OTHER#2012#159937#[0.581614661811485, 0.418385338188515]
McCollum, Betty#MN#4#OTHER#2012#216685#
Hernandez, Tony#MN#4#REP#2012#109659#
Carlson, Steve#MN#4#OTHER#2012#21135#
Garlan, Amber#MN#4#WRI#2012#10#[0.6235736958579984, 0.3155754570648279, 0.06082206918780163, 2.8777889372037675e-05]
Ellison, Keith#MN#5#OTHER#2012#262102#
Fields, Chris#MN#5#REP#2012#88753#
Lane, Tony#MN#5#WRI#2012#9#[0.7470187879064253, 0.25295556112909845, 2.565096447626431e-05]
Bachmann, Michele#MN#6#REP#2012#179240#
Graves, Jim#MN#6#OTHER#2012#174944#
Hed, Curtis#MN#6#WRI#2012#2#
Henkels, Derek#MN#6#WRI#2012#1#[0.5060603579465085, 0.49393117195153974, 5.6467346345292174e-06, 2.8233673172646087e-06]
Peterson, Collin C.#MN#7#OTHER#2012#197791#
Byberg, Lee#MN#7#REP#2012#114151#
Steele, Adam#MN#7#OTHER#2012#15298#[0.6044218310719961, 0.3488296051827405, 0.04674856374526341]
Nolan, Richard#MN#8#OTHER#2012#191976#
Cravaack, Chip#MN#8#REP#2012#160520#[0.5446189460305932, 0.45538105396940676]
Nunnelee, Alan#MS#1#REP#2012#186760#
Morris, Brad#MS#1#DEM#2012#114076#
Bedwell, Danny#MS#1#LIB#2012#3584#
Bourland, Jim R.#MS#1#OTHER#2012#2390#
Potts, Chris#MS#1#OTHER#2012#2367#[0.6040552822493265, 0.3689666437024746, 0.01159206538649382, 0.0077301998531585465, 0.0076558088085465605]
Thompson, Bennie G.#MS#2#DEM#2012#214978#
Marcy, Bill#MS#2#REP#2012#99160#
Williams, Cobby Mondale#MS#2#IND#2012#4605#
Williams, Lajena#MS#2#OTHER#2012#1501#[0.6712943880291278, 0.3096389003384919, 0.014379660508861993, 0.004687051123518317]
Harper, Gregg#MS#3#REP#2012#234717#
"""""""""""""""Pannell, John """"""""""""""""Luke"""""""""""""""""""""""""""""""#MS#3#OTHER#2012#58605#[0.8002025078241659, 0.19979749217583406]
Palazzo, Steven M.#MS#4#REP#2012#182998#
Moore, Matt#MS#4#DEM#2012#82344#
Williams, Ron#MS#4#LIB#2012#17982#
